YEAR,STATE,COUNTY,NAAQS POLLUTANT,NAAQS LEVEL AND AVERAGING TIME,NAAQS STANDARD,ATTAINMENT STATUS
2023,New York,Franklin,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Fulton,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Genesee,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Greene,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Hamilton,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Herkimer,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Jefferson,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Kings,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Maintenance
2023,New York,Lewis,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Livingston,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Madison,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Monroe,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Montgomery,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Nassau,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Maintenance
2023,New York,New York,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Maintenance
2023,New York,Niagara,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Oneida,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Onondaga,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Maintenance
2023,New York,Ontario,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Orange,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Orleans,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Oswego,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Otsego,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Putnam,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Queens,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Maintenance
2023,New York,Rensselaer,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Richmond,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Maintenance
2023,New York,Rockland,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Saratoga,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Schenectady,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Schoharie,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Schuyler,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Seneca,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Steuben,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,St. Lawrence,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Suffolk,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Sullivan,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Tioga,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Tompkins,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Ulster,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Warren,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Washington,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Wayne,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Westchester,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Maintenance
2023,New York,Wyoming,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Yates,Carbon Monoxide (CO),"8-hour (9 ppm), 1-hour (35 ppm)",Not to be exceeded more than once per year,Attainment
2023,New York,Albany,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Allegany,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Bronx,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Broome,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Cattaraugus,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Cayuga,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Chautauqua,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Chemung,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Chenango,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Clinton,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Columbia,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Cortland,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Delaware,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Dutchess,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Erie,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Essex,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Franklin,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Fulton,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Genesee,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Greene,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Hamilton,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Herkimer,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Jefferson,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Kings,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Lewis,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Livingston,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Madison,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Monroe,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Montgomery,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Nassau,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,New York,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Niagara,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Oneida,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Onondaga,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Ontario,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Orange,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Orleans,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Oswego,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Otsego,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Putnam,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Queens,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Rensselaer,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Richmond,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Rockland,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Saratoga,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Schenectady,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Schoharie,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Schuyler,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Seneca,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Steuben,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,St. Lawrence,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Suffolk,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Sullivan,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Tioga,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Tompkins,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Ulster,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Warren,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Washington,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Wayne,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Westchester,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Wyoming,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Yates,Lead (Pb),3-month (0.15 ug/m3),Not to be exceeded,Attainment
2023,New York,Albany,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Allegany,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Bronx,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Broome,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Cattaraugus,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Cayuga,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Chautauqua,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Chemung,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Chenango,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Clinton,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Columbia,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Cortland,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Delaware,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Dutchess,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Erie,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Essex,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Franklin,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Fulton,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Genesee,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Greene,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Hamilton,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Herkimer,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Jefferson,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Kings,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Lewis,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Livingston,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Madison,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Monroe,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Montgomery,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Nassau,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,New York,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Niagara,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Oneida,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Onondaga,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Ontario,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Orange,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Orleans,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Oswego,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Otsego,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Putnam,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Queens,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Rensselaer,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Richmond,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Rockland,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Saratoga,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Schenectady,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Schoharie,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Schuyler,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Seneca,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Steuben,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,St. Lawrence,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Suffolk,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Sullivan,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Tioga,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Tompkins,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Ulster,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Warren,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Washington,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Wayne,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Westchester,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Wyoming,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Yates,Nitrogen Dioxide (NO2),"1-hour (0.1 ppm), 1-year (0.053 ppm)","98th % of 1-hour daily max over 3 years, Annual Mean",Attainment
2023,New York,Albany,Ozone (O3) - 2008,8-hour (0.075 ppm),Annual 4th highest daily max 8-hour concentration over 3 years,Attainment
2023,New York,Allegany,Ozone (O3) - 2008,8-hour (0.075 ppm),Annual 4th highest daily max 8-hour concentration over 3 years,Attainment
2023,New York,Bronx,Ozone (O3) - 2008,8-hour (0.075 ppm),Annual 4th highest daily max 8-hour concentration over 3 years,Severe - Nonattainment
2023,New York,Broome,Ozone (O3) - 2008,8-hour (0.075 ppm),Annual 4th highest daily max 8-hour concentration over 3 years,Attainment
2023,New York,Cattaraugus,Ozone (O3) - 2008,8-hour (0.075 ppm),Annual 4th highest daily max 8-hour concentration over 3 years,Attainment
2023,New York,Cayuga,Ozone (O3) - 2008,8-hour (0.075 ppm),Annual 4th highest daily max 8-hour concentration over 3 years,Attainment
2023,New York,Chautauqua,Ozone (O3) - 2008,8-hour (0.075 ppm),Annual 4th highest daily max 8-hour concentration over 3 years,Marginal - Nonattainment
2023,New York,Chemung,Ozone (O3) - 2008,8-hour (0.075 ppm),Annual 4th highest daily max 8-hour concentration over 3 years,Attainment
2023,New York,Chenango,Ozone (O3) - 2008,8-hour (0.075 ppm),Annual 4th highest daily max 8-hour concentration over 3 years,Attainment
2023,New York,Clinton,Ozone (O3) - 2008,8-hour (0.075 ppm),Annual 4th highest daily max 8-hour concentration over 3 years,Attainment
2023,New York,Columbia,Ozone (O3) - 2008,8-hour (0.075 ppm),Annual 4th highest daily max 8-hour concentration over 3 years,Attainment
2023,New York,Cortland,Ozone (O3) - 2008,8-hour (0.075 ppm),Annual 4th highest daily max 8-hour concentration over 3 years,Attainment
2023,New York,Delaware,Ozone (O3) - 2008,8-hour (0.075 ppm),Annual 4th highest daily max 8-hour concentration over 3 years,Attainment
2023,New York,Dutchess,Ozone (O3) - 2008,8-hour (0.075 ppm),Annual 4th highest daily max 8-hour concentration over 3 years,Attainment
2023,New York,Erie,Ozone (O3) - 2008,8-hour (0.075 ppm),Annual 4th highest daily max 8-hour concentration over 3 years,Attainment
2023,New York,Essex,Ozone (O3) - 2008,8-hour (0.075 ppm),Annual 4th highest daily max 8-hour concentration over 3 years,Attainment
2023,New York,Franklin,Ozone (O3) - 2008,8-hour (0.075 ppm),Annual 4th highest daily max 8-hour concentration over 3 years,Attainment
2023,New York,Fulton,Ozone (O3) - 2008,8-hour (0.075 ppm),Annual 4th highest daily max 8-hour concentration over 3 years,Attainment
2023,New York,Genesee,Ozone (O3) - 2008,8-hour (0.075 ppm),Annual 4th highest daily max 8-hour concentration over 3 years,Attainment
2023,New York,Greene,Ozone (O3) - 2008,8-hour (0.075 ppm),Annual 4th highest daily max 8-hour concentration over 3 years,Attainment
