Site LOC ID,Name,Description,Municipality,County,DEC Region,Basin,Latitude,Longitude,HUC 8,Last Year Sampled,Georeference
09-ADKS_15-0.9,Massawepie Creek,remote; hike-in.,Webb,Herkimer,6,9,44.0364,-75.0936,4150302,2004,POINT (-75.0936 44.0364)
10-ADKS12_183-0.3,Unnamed Tributary To Spruce Hill Brook,just north off hurricane rd. at coordinates 44.228226 / -73.745509.,Keene,Essex,5,10,44.228889,-73.745278,4150404,2012,POINT (-73.745278 44.228889)
14-COUL-0.9,Coulter Brook,Approx 125m off Coulter Brook rd behind field. DUpstream looks like a wetland area and PWL segment ends before crossing a road.,Bovina,Delaware,4,14,42.250853,-74.759333,2040101,2022,POINT (-74.759333 42.250853)
15-HACK-2.8,Hackensack River,10 m above cr15 bridge (western hwy).,Clarkstown,Rockland,3,15,41.08611,-73.96278,2030103,2022,POINT (-73.96278 41.08611)
03-GHIL-1.5,Golden Hill Creek,60 m downstream of lower lake rd.,Somerset,Niagara,9,3,43.36561,-78.49772,4130001,2020,POINT (-78.49772 43.36561)
13-WAWA-11.8,Wawayanda Creek,2 m below wisner rd. bridge.,Warwick,Orange,3,13,41.26917,-74.32778,2020007,1989,POINT (-74.32778 41.26917)
07-GULY-0.6,Great Gully Creek,"sr 90 bridge 
















































































20 m downstream of bridge.",Springport,Cayuga,7,7,42.80796,-76.70235,4140201,2021,POINT (-76.70235 42.80796)
06-BIBS-6.6,Jennings Creek,1/4 miles upstream of hunts corners rd.,Lapeer,Cortland,7,6,42.442,-76.105927,2050102,2013,POINT (-76.105927 42.442)
02-ISCH-17.2,Ischua Creek,opposite 6th tee. ischua valley golf course.,Farmersville,Cattaraugus,9,2,42.35965,-78.4517,5010001,2011,POINT (-78.4517 42.35965)
13-SCHA-0.1,Milton Tributary H108,Above Dock Rd/Old Indian Trail,Marlborough,Ulster,3,13,41.65296,-73.954447,2020008,2022,POINT (-73.954447 41.65296)
14-LMGSD-0.0,Morningside Lake,"Access type is Public. Public park no boat launch, very shallow.",Fallsburg,Sullivan,3,14,41.75116,-74.651001,2040104,2016,POINT (-74.651001 41.75116)
07-SNDR-0.7,Sanders Creek,just below court st.,De Witt,Onondaga,7,7,43.08639,-76.09527,4140201,2002,POINT (-76.09527 43.08639)
13-LPEAC-0.0,Peach Lake,n/a,Southeast,Putnam,3,13,41.363269,-73.5867,2030101,2021,POINT (-73.5867 41.363269)
12-TIMM-0.6,Timmerman Creek,20 m above rte 5 bridge.,St Johnsville,Montgomery,4,12,42.99917,-74.69917,2020004,2000,POINT (-74.69917 42.99917)
10-NSAR-2.1,North Branch Saranac River,"1 mile above rt. 3 bridge; off amell rd.
















































































in '98 moved to cold brook rd. due to fencing.",Saranac,Clinton,5,10,44.5923,-73.8754,4150406,2003,POINT (-73.8754 44.5923)
12-CAYA-10.1,Cayadutta Creek,40 m below townsend ave. bridge.,Johnstown,Fulton,5,12,43.02083,-74.36583,2020004,2015,POINT (-74.36583 43.02083)
06-MERR-6.6,Merrill Creek,1/4 mile upstream of texas valley rd. bridge.,Marathon,Cortland,7,6,42.48066,-75.9797,2050102,2008,POINT (-75.9797 42.48066)
04-SPMI-0.5,Spring Mills Creek,15 m above cr 19 bridge.,Independence,Allegany,9,4,42.03717,-77.7596,4130002,2004,POINT (-77.7596 42.03717)
15-PASC-0.3,Pascack Brook,20 m above west washington st bridge.,Orangetown,Rockland,3,15,41.05972,-74.03611,2030103,2012,POINT (-74.03611 41.05972)
05-BENN-4.6,Bennetts Creek,rt. 248. 1 mi south of fall creek rd.,Canisteo,Steuben,8,5,42.22197,-77.61391,2050104,2017,POINT (-77.61391 42.22197)
12-FOX_T33-0.2,Unnamed Tributary To Fox Creek (warners Lake Outlet),50 m below rt. 443 culvert.,Berne,Albany,4,12,42.61583,-74.07417,2020005,1992,POINT (-74.07417 42.61583)
17-LCANA-0.0,Canaan Lake,n/a,Brookhaven,Suffolk,1,17,40.78536,-73.02089,2030202,2009,POINT (-73.02089 40.78536)
13-STNY-0.8,Stony Creek,200 m below kidd lane bridge.,Red Hook,Dutchess,3,13,42.04925,-73.91007,2020006,2017,POINT (-73.91007 42.04925)
02-GRIF-1.4,Griffin Creek,Upstream Bristol street road crossing.,Cuba,Allegany,9,2,42.211536,-78.277326,5010001,2021,POINT (-78.277326 42.211536)
03-WCAN-58.4,Western Barge Canal,below gallup rd.,Sweden,Monroe,8,3,43.20295,-77.87312,4130001,1981,POINT (-77.87312 43.20295)
14-GUMR-0.8,Gumaer Brook,20 m above rte 209 bridge.,Mamakating,Sullivan,3,14,41.59722,-74.46861,2040104,2009,POINT (-74.46861 41.59722)
05-SAMO-1.2,Salmon Creek,at grant st bridge.,Avoca,Steuben,8,5,42.40842,-77.4125,2050105,2017,POINT (-77.4125 42.40842)
01-YUGA-19.9,Cayuga Creek,at three rod rd. (cr 354) bridge.,Alden,Erie,9,1,42.8802,-78.5223,4120103,1993,POINT (-78.5223 42.8802)
10-SABL_W-23.0,West Branch Ausable River,just above roaring bk. greg benham prop off cr21.,North Elba,Essex,5,10,44.27611,-73.93776,4150404,2003,POINT (-73.93776 44.27611)
13-KROM-1.1,Kroma Kill,20 m upstream of rt. 32 bridge.,Colonie,Albany,4,13,42.70361,-73.71611,2020006,2022,POINT (-73.71611 42.70361)
08-LEFFL-0.0,Effley Falls Reservoir,sampled in 2008 as part of biomonitoring pilot; composite.,Croghan,Lewis,6,8,43.92031,-75.26348,4150101,2008,POINT (-75.26348 43.92031)
04-WCOY_N-2.6,North Branch Wiscoy Creek,at end of northern angler footpath.,Wethersfield,Wyoming,8,4,42.612,-78.25699,4130002,2019,POINT (-78.25699 42.612)
08-BLCK-84.5,Black River,5 m above moose river rd. bridge.,Boonville,Oneida,6,8,43.51167,-75.30666,4150101,1991,POINT (-75.30666 43.51167)
13-POST-0.8,Poesten Kill,150 m above spring ave. bridge.,Troy,Rensselaer,4,13,42.71972,-73.68333,2020006,2022,POINT (-73.68333 42.71972)
06-PAGE-8.7,Page Brook,100 m off cr 9.,Greene,Chenango,7,6,42.2735,-75.7427,2050102,2018,POINT (-75.7427 42.2735)
13-XSTK-0.9,Stony Kill,at stony kill rd.,Rochester,Ulster,3,13,41.77688,-74.22822,2020007,2017,POINT (-74.22822 41.77688)
04-WCOTN-0.2,Cotton Creek,off sr 19.,Gainesville,Wyoming,9,4,42.68,-78.117,4130003,2018,POINT (-78.117 42.68)
13-WOOD-7.2,Woodbury Creek,at estrada rd. overpass.,Woodbury,Orange,3,13,41.3273,-74.1152,2020008,2012,POINT (-74.1152 41.3273)
12-ALPL-1.5,Alplaus Kill,50 m above glenridge rd. bridge.,Glenville,Schenectady,4,12,42.8669,-73.90219,2020004,2007,POINT (-73.90219 42.8669)
11-ESTN-3.4,East Stony Creek,20 m below creek rd. bridge.,Hope,Hamilton,5,11,43.29508,-74.19261,2020002,2021,POINT (-74.19261 43.29508)
03-LSAN-5.0,Little Sandy Creek,100 m below rt. 11 bridge.,Sandy Creek,Oswego,7,3,43.64528,-76.08778,4140102,2008,POINT (-76.08778 43.64528)
08-BRDL-0.1,Bradley Brook,15 m above bridge. sign indicates bradley bk.,Arietta,Hamilton,5,8,43.70083,-74.59639,4150101,2002,POINT (-74.59639 43.70083)
10-SMPL-0.3,Sample Brook,off monty rd.,Mooers,Clinton,5,10,44.91294,-73.66567,4150408,2008,POINT (-73.66567 44.91294)
10-REAB-3.8,Rea Brook,22 fire house.,Beekmantown,Clinton,5,10,44.77469,-73.49259,4150408,2008,POINT (-73.49259 44.77469)
10-SARA-0.9,Saranac River,saranac st. bridge.,Plattsburgh,Clinton,5,10,44.69194,-73.45332,4150406,2018,POINT (-73.45332 44.69194)
14-FCLV-0.1,Fall Clove Stream,bws rd. number 6 bridge; 50 m upstream.,Colchester,Delaware,4,14,42.1148,-74.8903,2040102,2011,POINT (-74.8903 42.1148)
05-TUSC-4.4,Tuscarora Creek,200 m upstream of co.rt. 85 bridge.,Tuscarora,Steuben,8,5,42.06935,-77.27852,2050104,1997,POINT (-77.27852 42.06935)
05-COHO-48.4,Cohocton River,just below rt 21 bridge.,Cohocton,Steuben,8,5,42.56712,-77.53606,2050105,2012,POINT (-77.53606 42.56712)
09-ADKS_02-1.2,Meadow Brook,atkinson rd.,Pitcairn,St. Lawrence,6,9,44.16139,-75.30583,4150302,2004,POINT (-75.30583 44.16139)
11-BATT-46.8,Batten Kill,union st bridge; 10 m below.,Manchester Center (VT),Manchester Center (VT),0,11,43.16195,-73.0561,2020003,2001,POINT (-73.0561 43.16195)
13-LSTIS-0.0,Stissing Pond,n/a,Dutchess,Dutchess,-9999,13,41.971908,-73.673437,n/a,2016,POINT (-73.673437 41.971908)
01-TONA_T35_1-2.0,Unnamed Trib to Tonawanda Creek,0.2 mi Off Dry Bridge Rd.,Alexander,Genesee,8,1,42.887336,-78.217681,4120104,2020,POINT (-78.217681 42.887336)
11-ADKS12_113-0.8,Walker Brook,west off adk northway 0.17 miles at coordinates 44.000103 / -73.718485.,North Hudson,Essex,5,11,44.001389,-73.721389,2020001,2012,POINT (-73.721389 44.001389)
05-CHEM-22.9,Chemung River,100 m below sr 225 bridge (fitch bridge).,Big Flats,Chemung,8,5,42.0822,-76.86594,2050105,2022,POINT (-76.86594 42.0822)
01-BEAM-0.1,Beaver Meadow Creek,80 m below rte 78.,Java,Wyoming,9,1,42.67204,-78.43686,4120103,2005,POINT (-78.43686 42.67204)
14-COLD_T7-1.1,Unnamed Tributary To Cold Spring Creek,at driveway off schofield rd.,Deposit,Delaware,4,14,42.157587,-75.391342,2040101,2019,POINT (-75.391342 42.157587)
06-ELLS-1.0,Ellis Creek,30 m upstream of rte 17c bridge.,Barton,Tioga,7,6,42.00833,-76.48083,2050103,2018,POINT (-76.48083 42.00833)
10-GCHZ-29.4,Great Chazy River,miner farm rd; cr 23.,Altona,Clinton,5,10,44.88889,-73.64528,4150408,2014,POINT (-73.64528 44.88889)
04-LCON-0.6,Little Conesus Creek,10 m above sackett rd.,Avon,Livingston,8,4,42.8995,-77.75839,4130003,2019,POINT (-77.75839 42.8995)
13-PERR-1.5,Perry Creek,off mountain lodge rd. just above small pond.,Blooming Grove,Orange,3,13,41.40632,-74.15423,2020008,2017,POINT (-74.15423 41.40632)
03-REDR-15.1,Red Creek,Upstream bacon Rd bridge. possibly low gradient.,Victory,Cayuga,7,3,43.184383,-76.708267,4140101,2020,POINT (-76.708267 43.184383)
04-BIDW_T4-0.6,Unnamed Tributary To Bidwells Creek,400 m upstream of federal rd.,York,Livingston,8,4,42.858199,-77.92603,4130003,2019,POINT (-77.92603 42.858199)
08-BEAU_T2-0.1,Unnamed Tributary To Beauty Creek,at burnt shanty rd.,Lyonsdale,Lewis,6,8,43.603788,-75.31648,4150101,2017,POINT (-75.31648 43.603788)
08-SLVR-0.3,Silver Run,entrance to moose r. rec.area;opposite wetland.,Arietta,Hamilton,5,8,43.69389,-74.60306,4150101,2022,POINT (-74.60306 43.69389)
08-PINK-0.8,Pine Creek,bardwell mill rd. bridge.,Forestport,Oneida,6,8,43.41481,-75.17245,4150101,2007,POINT (-75.17245 43.41481)
01-ELTO-4.2,Elton Creek,at rte 16 bridge.,Yorkshire,Cattaraugus,9,1,42.48679,-78.48018,4120102,2020,POINT (-78.48018 42.48679)
10-BLBR-2.4,Black Brook,150 m below co. rt. 17 bridge.,Black Brook,Clinton,5,10,44.45861,-73.74333,4150404,2013,POINT (-73.74333 44.45861)
07-GNAR-28.6,Ganargua Creek,100 m below gillis rd. bridge.,Farmington,Ontario,8,7,43.01297,-77.36798,4140201,1996,POINT (-77.36798 43.01297)
06-BTNT-1.5,Butternut Creek,200 m above flat iron rd. bridge.,Butternuts,Otsego,4,6,42.42333,-75.35777,2050101,2003,POINT (-75.35777 42.42333)
12-VRKL-0.1,Verf Kill,Upstream of AmsteRdam Rd.,Glenville,Schenectady,4,12,42.886726,-74.052164,2020004,2020,POINT (-74.052164 42.886726)
07-SCON-6.3,Sconondoa Creek,At route 31 road crossing.,Vernon,Oneida,6,7,43.083543,-75.541681,4140202,2021,POINT (-75.541681 43.083543)
03-GRND_N-0.3,North Branch Grindstone Creek,walk 915 ft down rr tracks to stream.,Richland,Oswego,7,3,43.492161,-76.14433,4140102,2020,POINT (-76.14433 43.492161)
14-WYNK-0.2,Wynkoop Brook,hasbrouk rd. bridge; 20 m upstream.,Fallsburg,Sullivan,3,14,41.792,-74.61549,2040104,2008,POINT (-74.61549 41.792)
02-JNSN-2.3,Johnson Creek,At Markham's rd.,Dayton,Cattaraugus,9,2,42.397222,-78.999722,5010002,2021,POINT (-78.999722 42.397222)
09-WSCK-3.4,West Creek,north star rd; low gradient.,Le Ray,Jefferson,6,9,44.061953,-75.827492,4150303,2015,POINT (-75.827492 44.061953)
10-IDIA-1.9,Indian River,40 m upstream of rte 149 bridge.,Granville,Washington,5,10,43.39306,-73.2644,4150401,2016,POINT (-73.2644 43.39306)
08-CDON-0.4,Capidon Creek,van amber rd. at culvert crossing.,New Bremen,Lewis,6,8,43.86111,-75.47556,4150101,2002,POINT (-75.47556 43.86111)
13-SILV-4.5,Moodna Creek Lower and Tribs,Trib to Silver Stream,New Windsor,Orange,3,13,41.482533,-74.085806,2020008,2022,POINT (-74.085806 41.482533)
06-HAFW-1.1,Halfway Creek,30 m upstream of cloverdale rd. bridge (cr 25).,Barker,Broome,7,6,42.29111,-75.88582,2050102,2003,POINT (-75.88582 42.29111)
09-GTCH-60.1,Oswegatchie River,riffle down smith rd. 1 (possibly private). also riffle dwn at 44.319481 / -75.563281. or bridge at kearney rd.,Gouverneur,St. Lawrence,6,9,44.33609,-75.50504,4150302,2019,POINT (-75.50504 44.33609)
14-MONG_M-5.6,Middle Branch Mongaup River,ferndale rd. bridge.,Liberty,Sullivan,3,14,41.77385,-74.7384,2040104,2019,POINT (-74.7384 41.77385)
13-ONES-0.6,Onesquethaw Creek,50 m below rt. 53 bridge.,Bethlehem,Albany,4,13,42.53556,-73.84084,2020006,2008,POINT (-73.84084 42.53556)
07-TGHN-9.6,Taughannock Creek,50 meters east off route 228 just upstream of intersection with updyke rd. and rte 228.,Hector,Schuyler,8,7,42.483,-76.7,4140201,2012,POINT (-76.7 42.483)
12-WKIL-3.0,West Kill,rte 42 bridge.,Lexington,Greene,4,12,42.21194,-74.38695,2020005,2000,POINT (-74.38695 42.21194)
02-TWEI-3.3,Twentyeighth Creek,first rd. crossing east of the intersection of dean school rd. and 28th creek rd.,Ellington,Chautauqua,9,2,42.2009,-79.14969,5010002,2016,POINT (-79.14969 42.2009)
05-DRUN-0.2,Dry Run,10 m above cr 26. meads creek rd.,Campbell,Steuben,8,5,42.21806,-77.1367,2050105,2007,POINT (-77.1367 42.21806)
01-RIGT-2.0,Right Branch,10 m above rte 77 culvert.,Bennington,Wyoming,9,1,42.83551,-78.3977,4120103,2000,POINT (-78.3977 42.83551)
13-SILV_T2-0.3,Moodna Creek Lower and Tribs,Trib to Silver Stream,New Windsor,Orange,3,13,41.485684,-74.077992,2020008,2022,POINT (-74.077992 41.485684)
14-HUMP-1.4,Humphries Brook,1637 lordsville rd.,Hancock,Delaware,4,14,41.88298,-75.22763,2040101,2009,POINT (-75.22763 41.88298)
