"Label (Grouping)","Westchester County, New York!!Total!!Estimate","Westchester County, New York!!Total!!Margin of Error","Westchester County, New York!!Car, truck, or van -- drove alone!!Estimate","Westchester County, New York!!Car, truck, or van -- drove alone!!Margin of Error","Westchester County, New York!!Car, truck, or van -- carpooled!!Estimate","Westchester County, New York!!Car, truck, or van -- carpooled!!Margin of Error","Westchester County, New York!!Public transportation (excluding taxicab)!!Estimate","Westchester County, New York!!Public transportation (excluding taxicab)!!Margin of Error","Westchester County, New York!!Worked from home!!Estimate","Westchester County, New York!!Worked from home!!Margin of Error"
"    Workers 16 years and over with earnings","472,007","±11,863","286,441","±11,340","39,969","±4,861","33,654","±3,981","75,450","±5,318"
"        $1 to $9,999 or loss","8.4%","±0.7","6.6%","±0.9","11.4%","±3.6","11.8%","±3.2","6.3%","±1.6"
"        $10,000 to $14,999","4.4%","±0.6","3.9%","±0.7","4.0%","±1.8","6.3%","±3.2","3.1%","±1.3"
"        $15,000 to $24,999","8.7%","±0.8","7.1%","±0.9","11.8%","±3.4","12.5%","±4.0","7.0%","±1.9"
"        $25,000 to $34,999","9.0%","±0.9","8.5%","±1.0","15.0%","±4.6","14.3%","±3.7","6.0%","±1.8"
"        $35,000 to $49,999","11.7%","±1.0","11.5%","±1.1","17.4%","±5.1","15.4%","±4.4","8.6%","±2.0"
"        $50,000 to $64,999","10.9%","±0.9","12.4%","±1.2","8.6%","±2.4","14.8%","±5.0","6.0%","±1.4"
"        $65,000 to $74,999","6.0%","±0.6","7.1%","±0.7","7.0%","±2.4","3.7%","±1.8","3.7%","±1.2"
"        $75,000 or more","40.8%","±1.4","42.9%","±1.5","24.8%","±4.6","21.2%","±5.1","59.3%","±3.6"
"        Median earnings (dollars)","60,246","±3,243","64,990","±4,188","40,912","±4,838","39,492","±5,411","91,563","±5,432"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","",""
"    Workers 16 years and over for whom poverty status is determined","465,955","±11,809","284,790","±11,366","39,833","±4,877","33,654","±3,981","74,603","±5,330"
"        Below 100 percent of the poverty level","4.2%","±0.7","3.1%","±0.6","4.9%","±1.9","7.6%","±3.3","2.7%","±1.1"
"        100 to 149 percent of the poverty level","3.6%","±0.7","2.8%","±0.8","3.6%","±1.9","8.2%","±2.8","2.4%","±1.2"
"        At or above 150 percent of the poverty level","92.2%","±1.0","94.1%","±0.9","91.4%","±2.3","84.1%","±4.2","94.9%","±1.6"
"Workers 16 years and over","472,048","±11,869","286,441","±11,340","40,010","±4,865","33,654","±3,981","75,450","±5,318"
"    OCCUPATION","","","","","","","","","",""
"        Management, business, science, and arts occupations","49.9%","±1.4","50.8%","±1.8","39.5%","±5.4","29.7%","±5.0","69.9%","±3.7"
"        Service occupations","18.1%","±1.1","15.7%","±1.2","25.2%","±4.7","26.7%","±4.9","9.8%","±2.1"
"        Sales and office occupations","18.5%","±1.3","19.1%","±1.7","16.6%","±4.5","23.7%","±4.4","14.7%","±2.3"
"        Natural resources, construction, and maintenance occupations","6.3%","±0.8","7.2%","±1.2","9.5%","±2.5","4.5%","±2.4","3.0%","±2.1"
"        Production, transportation, and material moving occupations","7.3%","±0.7","7.2%","±0.8","9.3%","±3.2","15.4%","±4.1","2.7%","±1.1"
"        Military specific occupations","0.0%","±0.1","0.0%","±0.1","0.0%","±0.5","0.0%","±0.5","0.0%","±0.2"
"    INDUSTRY","","","","","","","","","",""
"        Agriculture, forestry, fishing and hunting, and mining","0.3%","±0.2","0.1%","±0.1","0.0%","±0.5","0.4%","±0.5","0.9%","±1.0"
"        Construction","6.3%","±0.8","7.6%","±1.2","7.7%","±2.7","3.9%","±2.2","3.4%","±1.7"
"        Manufacturing","4.9%","±0.7","5.1%","±0.9","4.8%","±1.9","8.3%","±3.2","4.1%","±1.3"
"        Wholesale trade","1.7%","±0.4","1.6%","±0.4","3.3%","±2.3","2.6%","±2.2","1.3%","±0.6"
"        Retail trade","9.5%","±1.0","9.5%","±1.3","8.4%","±2.9","20.3%","±4.2","5.3%","±1.5"
"        Transportation and warehousing, and utilities","5.2%","±0.6","5.5%","±0.9","6.8%","±2.8","6.0%","±2.5","2.3%","±1.0"
"        Information and finance and insurance, and real estate and rental and leasing","9.7%","±0.7","8.7%","±0.9","3.8%","±1.8","6.5%","±3.1","20.4%","±2.6"
"        Professional, scientific, and management, and administrative and waste management services","14.5%","±1.0","11.7%","±1.1","14.1%","±3.5","11.1%","±3.3","28.1%","±2.7"
"        Educational services, and health care and social assistance","31.4%","±1.6","34.1%","±2.0","35.7%","±5.9","23.8%","±4.5","21.2%","±2.5"
"        Arts, entertainment, and recreation, and accommodation and food services","7.3%","±0.8","6.1%","±0.9","7.3%","±2.7","6.6%","±2.0","6.2%","±1.7"
"        Other services (except public administration)","5.2%","±0.6","5.0%","±0.7","5.7%","±2.3","6.7%","±2.7","5.0%","±1.6"
"        Public administration","3.9%","±0.5","4.9%","±0.8","2.4%","±1.2","3.9%","±2.8","1.6%","±0.7"
"        Armed forces","0.0%","±0.1","0.1%","±0.1","0.0%","±0.5","0.0%","±0.5","0.0%","±0.2"
"    CLASS OF WORKER","","","","","","","","","",""
"        Private wage and salary workers","78.3%","±1.2","75.6%","±1.8","84.6%","±3.9","86.8%","±4.1","81.4%","±2.3"
"        Government workers","15.0%","±1.1","18.8%","±1.6","11.3%","±3.5","10.2%","±3.6","5.7%","±1.6"
"        Self-employed workers in own not incorporated business","6.6%","±0.8","5.6%","±0.9","3.8%","±1.8","2.8%","±2.1","12.7%","±2.0"
"        Unpaid family workers","0.1%","±0.1","0.0%","±0.1","0.3%","±0.3","0.2%","±0.3","0.2%","±0.3"
"Workers 16 years and over who did not work from home","396,598","±11,376","286,441","±11,340","40,010","±4,865","33,654","±3,981","(X)","(X)"
"    TIME ARRIVING AT WORK","","","","","","","","","",""
"        12:00 a.m. to 4:59 a.m.","2.8%","±0.6","2.4%","±0.7","1.4%","±1.4","3.6%","±2.8","(X)","(X)"
"        5:00 a.m. to 5:29 a.m.","0.7%","±0.3","0.8%","±0.4","0.2%","±0.2","0.0%","±0.5","(X)","(X)"
"        5:30 a.m. to 5:59 a.m.","2.4%","±0.5","2.5%","±0.6","4.3%","±2.3","1.6%","±1.7","(X)","(X)"
"        6:00 a.m. to 6:29 a.m.","4.1%","±0.6","4.0%","±0.8","2.5%","±1.6","2.6%","±1.9","(X)","(X)"
"        6:30 a.m. to 6:59 a.m.","5.8%","±0.7","6.4%","±0.7","5.8%","±3.2","4.3%","±2.1","(X)","(X)"
"        7:00 a.m. to 7:29 a.m.","11.8%","±1.1","12.3%","±1.3","11.1%","±3.1","12.6%","±4.1","(X)","(X)"
"        7:30 a.m. to 7:59 a.m.","13.4%","±1.1","14.3%","±1.4","14.3%","±4.0","10.7%","±3.0","(X)","(X)"
"        8:00 a.m. to 8:29 a.m.","13.5%","±1.0","13.4%","±1.3","17.6%","±4.4","11.5%","±3.7","(X)","(X)"
"        8:30 a.m. to 8:59 a.m.","12.6%","±1.0","13.3%","±1.2","10.3%","±4.4","15.4%","±4.2","(X)","(X)"
"        9:00 a.m. to 11:59 p.m.","32.8%","±1.6","30.4%","±1.7","32.5%","±6.3","37.6%","±4.4","(X)","(X)"
"    TRAVEL TIME TO WORK","","","","","","","","","",""
"        Less than 10 minutes","9.4%","±0.8","7.9%","±0.9","8.4%","±3.1","2.5%","±2.1","(X)","(X)"
"        10 to 14 minutes","9.7%","±0.9","9.4%","±1.0","11.2%","±3.7","0.3%","±0.4","(X)","(X)"
"        15 to 19 minutes","14.9%","±1.2","14.6%","±1.2","19.6%","±4.7","3.5%","±2.3","(X)","(X)"
"        20 to 24 minutes","10.7%","±1.1","11.6%","±1.3","9.1%","±3.2","6.9%","±3.2","(X)","(X)"
"        25 to 29 minutes","6.5%","±0.9","7.7%","±1.1","5.3%","±2.9","2.2%","±1.6","(X)","(X)"
"        30 to 34 minutes","13.3%","±1.0","13.0%","±1.0","13.7%","±4.2","19.0%","±4.4","(X)","(X)"
"        35 to 44 minutes","9.3%","±1.0","10.5%","±1.1","11.5%","±3.6","6.6%","±2.5","(X)","(X)"
"        45 to 59 minutes","10.4%","±1.0","11.2%","±1.3","10.7%","±3.2","12.2%","±3.5","(X)","(X)"
"        60 or more minutes","15.6%","±1.0","14.1%","±1.2","10.4%","±3.1","46.9%","±4.8","(X)","(X)"
"        Mean travel time to work (minutes)","32.0","±0.6","31.6","±0.8","30.0","±2.6","54.5","±3.0","(X)","(X)"
"Workers 16 years and over in households","464,915","±11,762","284,379","±11,366","39,505","±4,868","33,513","±3,962","74,551","±5,330"
"    HOUSING TENURE","","","","","","","","","",""
"        Owner-occupied housing units","61.9%","±1.7","67.2%","±2.0","50.5%","±7.4","28.3%","±5.1","75.3%","±3.2"
"        Renter-occupied housing units","38.1%","±1.7","32.8%","±2.0","49.5%","±7.4","71.7%","±5.1","24.7%","±3.2"
"    VEHICLES AVAILABLE","","","","","","","","","",""
"        No vehicle available","10.5%","±1.0","3.9%","±0.9","14.4%","±4.7","54.9%","±5.6","4.4%","±1.5"
"        1 vehicle available","27.9%","±1.5","27.2%","±1.7","26.1%","±5.6","23.6%","±5.0","30.2%","±4.1"
"        2 vehicles available","36.4%","±1.5","39.3%","±1.9","33.3%","±5.4","12.6%","±3.3","44.9%","±4.0"
"        3 or more vehicles available","25.2%","±1.4","29.6%","±1.8","26.3%","±6.6","8.9%","±3.9","20.6%","±2.7"
"PERCENT ALLOCATED","","","","","","","","","",""
"    Means of transportation to work","21.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Time arriving at work from home","38.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","28.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","3.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
