State FIPS,County FIPS,County Name,Industry,Industry Title,Year,Reporting Units,Average Employment,Average Annual Wages,Total Wages,Average Weekly Wages
36,000,Statewide Total,04,Manufacturing,1994,26548,956256,38135,36466829749,733.37
36,000,Statewide Total,05,Transportation & Public Utilities,1994,18939,537909,39429,21209236313,758.25
36,000,Statewide Total,06,Wholesale Trade,1994,45876,419647,41296,17329624183,794.15
36,000,Statewide Total,07,Retail Trade,1994,105316,1161551,16201,18817782079,311.55
36,000,Statewide Total,08,"Finance,  Insurance & Real Estate",1994,51084,761014,57372,43660937855,1103.31
36,000,Statewide Total,09,Services,1994,178214,3044838,30182,91900040447,580.43
36,000,Statewide Total,10,Public Administration,1994,3435,507918,35498,18030275346,682.66
36,000,Statewide Total,00,All Industries,1993,475759,7631479,32919,251217055750,633.05
36,000,Statewide Total,01,"Agriculture, Mining & Unclassified",1993,15520,64862,21174,1373358505,407.18
36,000,Statewide Total,03,Construction,1993,40202,241253,34140,8236331033,656.54
36,000,Statewide Total,04,Manufacturing,1993,26682,978849,37138,36352283299,714.19
36,000,Statewide Total,05,Transportation & Public Utilities,1993,18514,534962,38546,20620414563,741.26
36,000,Statewide Total,06,Wholesale Trade,1993,45134,416703,40415,16841173911,777.22
36,000,Statewide Total,07,Retail Trade,1993,104641,1141610,15754,17984948841,302.96
36,000,Statewide Total,08,"Finance,  Insurance & Real Estate",1993,49833,754811,58931,44482086526,1133.30
36,000,Statewide Total,09,Services,1993,171641,2986916,29381,87758792255,565.02
36,000,Statewide Total,10,Public Administration,1993,3429,510720,34366,17551161926,660.88
36,000,Statewide Total,00,All Industries,1992,473213,7621738,32408,247007200299,623.24
36,000,Statewide Total,01,"Agriculture, Mining & Unclassified",1992,11927,61209,21582,1321015180,415.04
36,000,Statewide Total,03,Construction,1992,42142,243675,33879,8255457268,651.52
36,000,Statewide Total,04,Manufacturing,1992,27278,1013250,36609,37093549577,704.01
36,000,Statewide Total,05,Transportation & Public Utilities,1992,18714,538636,38282,20619860026,736.19
36,000,Statewide Total,06,Wholesale Trade,1992,45299,425326,39733,16899647675,764.10
36,000,Statewide Total,07,Retail Trade,1992,104003,1142272,15662,17889874482,301.19
36,000,Statewide Total,08,"Finance,  Insurance & Real Estate",1992,49652,758613,57757,43815014167,1110.71
36,000,Statewide Total,09,Services,1992,170608,2924669,28786,84189714279,553.58
36,000,Statewide Total,10,Public Administration,1992,3429,513308,32937,16906761113,633.40
36,000,Statewide Total,00,All Industries,1991,475954,7771418,30014,233253770689,577.20
36,000,Statewide Total,01,"Agriculture, Mining & Unclassified",1991,12777,56839,20569,1169141785,395.57
36,000,Statewide Total,03,Construction,1991,44265,275990,33012,9110962913,634.85
36,000,Statewide Total,04,Manufacturing,1991,28239,1060987,34526,36631505412,663.96
36,000,Statewide Total,05,Transportation & Public Utilities,1991,18317,559743,35567,19908164999,683.97
36,000,Statewide Total,06,Wholesale Trade,1991,45370,435565,37363,16274051101,718.52
36,000,Statewide Total,07,Retail Trade,1991,104194,1169501,14963,17498811534,287.74
36,000,Statewide Total,08,"Finance,  Insurance & Real Estate",1991,49151,776067,46684,36230309594,897.78
36,000,Statewide Total,09,Services,1991,170057,2915860,27434,79993950010,527.58
36,000,Statewide Total,10,Public Administration,1991,3414,519973,31577,16418949385,607.24
36,000,Statewide Total,00,All Industries,1990,474053,8098944,28870,233812607022,555.18
36,000,Statewide Total,01,"Agriculture, Mining & Unclassified",1990,15336,62028,20627,1279423804,396.66
36,000,Statewide Total,03,Construction,1990,45257,316554,31971,10120596763,614.83
36,000,Statewide Total,04,Manufacturing,1990,28612,1131707,32750,37063195707,629.80
36,000,Statewide Total,05,Transportation & Public Utilities,1990,18056,574591,34494,19819764317,663.34
36,000,Statewide Total,06,Wholesale Trade,1990,44926,466573,36150,16866512867,695.19
36,000,Statewide Total,07,Retail Trade,1990,103266,1224188,14474,17718303182,278.34
36,000,Statewide Total,08,"Finance,  Insurance & Real Estate",1990,47759,798234,44154,35245376967,849.12
36,000,Statewide Total,09,Services,1990,167266,2990031,26580,79475172191,511.15
36,000,Statewide Total,10,Public Administration,1990,3393,534121,30342,16206276809,583.50
36,000,Statewide Total,00,All Industries,1989,468108,8132344,27303,222034163754,525.05
36,000,Statewide Total,01,"Agriculture, Mining & Unclassified",1989,15130,68252,20326,1387308012,390.89
36,000,Statewide Total,03,Construction,1989,44688,333438,30836,10281823154,593.00
36,000,Statewide Total,04,Manufacturing,1989,28932,1188453,30876,36694354845,593.76
36,000,Statewide Total,05,Transportation & Public Utilities,1989,17686,557096,32784,18263975231,630.47
36,000,Statewide Total,06,Wholesale Trade,1989,44875,480489,34263,16462953103,658.90
36,000,Statewide Total,07,Retail Trade,1989,102695,1247202,13991,17450157920,269.07
36,000,Statewide Total,08,"Finance,  Insurance & Real Estate",1989,45475,805474,41637,33537780723,800.72
36,000,Statewide Total,09,Services,1989,165055,2931624,24825,72777841327,477.41
36,000,Statewide Total,10,Public Administration,1989,3389,519403,29190,15161364725,561.35
36,000,Statewide Total,00,All Industries,1988,462351,8073953,26347,212722115653,506.67
36,000,Statewide Total,01,"Agriculture, Mining & Unclassified",1988,15191,65284,19588,1278817541,376.70
36,000,Statewide Total,03,Construction,1988,42796,336772,29511,9938635920,567.53
36,000,Statewide Total,04,Manufacturing,1988,29560,1217205,30110,36650004402,579.04
36,000,Statewide Total,05,Transportation & Public Utilities,1988,17664,561096,32039,17977033670,616.14
36,000,Statewide Total,06,Wholesale Trade,1988,44859,481990,33265,16033241230,639.70
36,000,Statewide Total,07,Retail Trade,1988,102225,1239760,13440,16662207946,258.46
36,000,Statewide Total,08,"Finance,  Insurance & Real Estate",1988,44808,815546,41152,33561387062,791.39
36,000,Statewide Total,09,Services,1988,161717,2844396,23474,66770346106,451.43
36,000,Statewide Total,10,Public Administration,1988,3355,511063,27073,13835914863,520.63
36,000,Statewide Total,00,All Industries,1987,453731,7951474,24635,195885126527,473.75
36,000,Statewide Total,01,"Agriculture, Mining & Unclassified",1987,15142,65428,18143,1187075136,348.91
36,000,Statewide Total,03,Construction,1987,39260,327959,27886,9145403805,536.26
36,000,Statewide Total,04,Manufacturing,1987,29837,1223141,28181,34468811187,541.93
36,000,Statewide Total,05,Transportation & Public Utilities,1987,17535,553281,30891,17091604929,594.07
36,000,Statewide Total,06,Wholesale Trade,1987,44996,484807,30413,14744280023,584.86
36,000,Statewide Total,07,Retail Trade,1987,101686,1221526,12785,15617506170,245.87
36,000,Statewide Total,08,"Finance,  Insurance & Real Estate",1987,43468,811535,37313,30280946560,717.56
36,000,Statewide Total,09,Services,1987,158305,2765277,21964,60736421006,422.38
36,000,Statewide Total,10,Public Administration,1987,3350,497692,25315,12598950073,486.82
36,000,Statewide Total,00,All Industries,1986,446312,7802396,23201,181023676501,446.17
36,000,Statewide Total,01,"Agriculture, Mining & Unclassified",1986,12159,61781,17099,1056397487,328.83
36,000,Statewide Total,03,Construction,1986,36964,309059,26855,8299673244,516.44
36,000,Statewide Total,04,Manufacturing,1986,30328,1255585,27182,34129397975,522.73
36,000,Statewide Total,05,Transportation & Public Utilities,1986,17392,547353,29911,16372053207,575.22
36,000,Statewide Total,06,Wholesale Trade,1986,44966,480558,28784,13832235254,553.53
36,000,Statewide Total,07,Retail Trade,1986,102055,1196662,12109,14490264155,232.86
36,000,Statewide Total,08,"Finance,  Insurance & Real Estate",1986,42853,775981,34100,26461101183,655.77
36,000,Statewide Total,09,Services,1986,156126,2688302,20440,54947907872,393.07
36,000,Statewide Total,10,Public Administration,1986,3328,486421,23486,11423952438,451.65
36,000,Statewide Total,00,All Industries,1985,439887,7647318,21900,167478764916,421.16
36,000,Statewide Total,01,"Agriculture, Mining & Unclassified",1985,12534,60680,16922,1026797304,325.42
36,000,Statewide Total,03,Construction,1985,34017,284633,25459,7246519123,489.60
36,000,Statewide Total,04,Manufacturing,1985,31170,1298820,25929,33677551637,498.64
36,000,Statewide Total,05,Transportation & Public Utilities,1985,17324,554802,28895,16030864106,555.67
36,000,Statewide Total,06,Wholesale Trade,1985,44676,479515,27533,13202338429,529.48
36,000,Statewide Total,07,Retail Trade,1985,101543,1154074,11526,13301812841,221.65
36,000,Statewide Total,08,"Finance,  Insurance & Real Estate",1985,41964,738938,30322,22405824754,583.11
36,000,Statewide Total,09,Services,1985,153230,2597816,19292,50118089312,371.01
36,000,Statewide Total,10,Public Administration,1985,3301,477443,21910,10460552392,421.34
36,000,Statewide Total,00,All Industries,1984,427362,7467957,20751,154970347559,399.06
36,000,Statewide Total,01,"Agriculture, Mining & Unclassified",1984,14961,62968,16488,1038235212,317.08
36,000,Statewide Total,03,Construction,1984,31039,255402,24384,6227801199,468.93
36,000,Statewide Total,04,Manufacturing,1984,31007,1331794,24308,32372905999,467.46
36,000,Statewide Total,05,Transportation & Public Utilities,1984,16813,552332,27625,15258210970,531.25
36,000,Statewide Total,06,Wholesale Trade,1984,43286,468958,26362,12362661421,506.96
36,000,Statewide Total,07,Retail Trade,1984,99255,1110289,11018,12233394770,211.89
36,000,Statewide Total,08,"Finance,  Insurance & Real Estate",1984,40371,721113,27797,20044711415,534.56
36,000,Statewide Total,09,Services,1984,147185,2500156,18305,45764221838,352.01
36,000,Statewide Total,10,Public Administration,1984,3325,464393,20803,9660570290,400.05
36,000,Statewide Total,00,All Industries,1983,417579,7214082,19675,141936528397,378.36
36,000,Statewide Total,01,"Agriculture, Mining & Unclassified",1983,13888,63848,15970,1019624900,307.11
36,000,Statewide Total,03,Construction,1983,29615,230500,23358,5384062374,449.20
36,000,Statewide Total,04,Manufacturing,1983,31057,1308110,23122,30246328405,444.66
36,000,Statewide Total,05,Transportation & Public Utilities,1983,16277,539322,26425,14251858038,508.18
36,000,Statewide Total,06,Wholesale Trade,1983,43150,453920,24824,11268293948,477.39
36,000,Statewide Total,07,Retail Trade,1983,97799,1051800,10530,11075588395,202.50
36,000,Statewide Total,08,"Finance,  Insurance & Real Estate",1983,39701,702867,25951,18239766067,499.05
36,000,Statewide Total,09,Services,1983,142615,2404110,17276,41534369510,332.24
36,000,Statewide Total,10,Public Administration,1983,3350,459051,19405,8907968891,373.18
36,000,Statewide Total,00,All Industries,1982,412190,7161186,18533,132719248113,356.41
36,000,Statewide Total,01,"Agriculture, Mining & Unclassified",1982,13379,60845,15668,953348827,301.31
36,000,Statewide Total,03,Construction,1982,29216,219875,22055,4849280041,424.13
36,000,Statewide Total,04,Manufacturing,1982,31419,1358659,21773,29581427444,418.70
36,000,Statewide Total,05,Transportation & Public Utilities,1982,16221,550165,25900,14249464763,498.08
36,000,Statewide Total,06,Wholesale Trade,1982,42819,456622,23740,10840045122,456.53
36,000,Statewide Total,07,Retail Trade,1982,97325,1014945,9966,10114560948,191.65
36,000,Statewide Total,08,"Finance,  Insurance & Real Estate",1982,39409,686732,23034,15818236646,442.96
36,000,Statewide Total,09,Services,1982,138937,2350910,16162,37994238595,310.80
36,000,Statewide Total,10,Public Administration,1982,3347,461982,17993,8312450515,346.02
36,000,Statewide Total,00,All Industries,1981,411634,7191680,17131,123199329443,329.44
36,000,Statewide Total,01,"Agriculture, Mining & Unclassified",1981,12120,60839,14216,864897435,273.39
36,000,Statewide Total,03,Construction,1981,29497,212857,20229,4305907414,389.02
36,000,Statewide Total,04,Manufacturing,1981,31664,1436973,20063,28829919196,385.83
36,000,Statewide Total,05,Transportation & Public Utilities,1981,16393,553499,23659,13095207754,454.98
36,000,Statewide Total,06,Wholesale Trade,1981,42561,456673,22261,10165812022,428.09
36,000,Statewide Total,07,Retail Trade,1981,98394,1011118,9445,9549888671,181.63
36,000,Statewide Total,08,"Finance,  Insurance & Real Estate",1981,39607,671372,20608,13835775349,396.31
36,000,Statewide Total,09,Services,1981,137376,2323579,14999,34850214381,288.43
36,000,Statewide Total,10,Public Administration,1981,3904,464351,16574,7696170903,318.73
36,000,Statewide Total,00,All Industries,1980,416304,7113414,15685,111575198153,301.64
36,000,Statewide Total,01,"Agriculture, Mining & Unclassified",1980,12482,60805,12960,788035303,249.23
36,000,Statewide Total,03,Construction,1980,30618,209417,18477,3869430448,355.33
36,000,Statewide Total,04,Manufacturing,1980,32719,1447959,18468,26740535425,355.15
36,000,Statewide Total,05,Transportation & Public Utilities,1980,16627,551407,21293,11741098158,409.48
36,000,Statewide Total,06,Wholesale Trade,1980,42639,450578,20428,9204324300,392.84
36,000,Statewide Total,07,Retail Trade,1980,100443,1017525,8861,9016186776,170.40
36,000,Statewide Total,08,"Finance,  Insurance & Real Estate",1980,40583,643959,18535,11935479670,356.43
36,000,Statewide Total,09,Services,1980,136097,2248945,13773,30975050586,264.87
36,000,Statewide Total,10,Public Administration,1980,3982,482407,15132,7299928017,291.01
36,000,Statewide Total,00,All Industries,1979,413911,7100842,14326,101723121739,275.49
36,000,Statewide Total,01,"Agriculture, Mining & Unclassified",1979,15283,62983,11587,729754434,222.82
36,000,Statewide Total,03,Construction,1979,30493,209881,16829,3532190289,323.64
36,000,Statewide Total,04,Manufacturing,1979,32955,1494414,16762,25049328892,322.35
36,000,Statewide Total,05,Transportation & Public Utilities,1979,16412,543577,19829,10778770183,381.33
36,000,Statewide Total,06,Wholesale Trade,1979,42033,450558,18517,8343076598,356.10
36,000,Statewide Total,07,Retail Trade,1979,99565,1028278,8316,8550744099,159.92
36,000,Statewide Total,08,"Finance,  Insurance & Real Estate",1979,40945,621540,16587,10309658834,318.99
36,000,Statewide Total,09,Services,1979,132084,2191208,12555,27511195570,241.45
36,000,Statewide Total,10,Public Administration,1979,4018,497882,13883,6911919903,266.97
36,000,Statewide Total,00,All Industries,1978,409056,6947626,13404,93129229209,257.78
36,000,Statewide Total,01,"Agriculture, Mining & Unclassified",1978,8086,50254,11157,560694116,214.56
36,000,Statewide Total,03,Construction,1978,31234,199952,15573,3113825121,299.48
36,000,Statewide Total,04,Manufacturing,1978,33884,1482170,15460,22914820905,297.31
36,000,Statewide Total,05,Transportation & Public Utilities,1978,16341,538497,18313,9861472603,352.17
36,000,Statewide Total,06,Wholesale Trade,1978,41928,442791,17166,7601048797,330.12
36,000,Statewide Total,07,Retail Trade,1978,101091,1014947,7850,7967581819,150.97
36,000,Statewide Total,08,"Finance,  Insurance & Real Estate",1978,42227,602639,15336,9241962225,294.92
36,000,Statewide Total,09,Services,1978,130544,2081687,11862,24692538411,228.11
36,000,Statewide Total,10,Public Administration,1978,3605,534194,13421,7169675592,258.11
36,000,Statewide Total,00,All Industries,1977,402698,5918521,12619,74687237156,242.68
36,000,Statewide Total,01,"Agriculture, Mining & Unclassified",1977,6940,39225,11178,438470871,214.97
36,000,Statewide Total,03,Construction,1977,31410,189554,14713,2788857836,282.94
36,000,Statewide Total,04,Manufacturing,1977,34248,1454022,14396,20932097712,276.85
36,000,Statewide Total,05,Transportation & Public Utilities,1977,15868,485162,17044,8269197983,327.77
36,000,Statewide Total,06,Wholesale Trade,1977,41468,434244,16128,7003361539,310.15
36,000,Statewide Total,07,Retail Trade,1977,101510,998180,7366,7352885476,141.66
36,000,Statewide Total,08,"Finance,  Insurance & Real Estate",1977,42867,579068,14276,8266787410,274.54
36,000,Statewide Total,09,Services,1977,127241,1567008,10944,17149099722,210.46
36,000,Statewide Total,10,Public Administration,1977,1020,171572,14461,2481138942,278.10
36,000,Statewide Total,00,All Industries,1976,401534,5842021,11918,69624487626,229.19
36,000,Statewide Total,01,"Agriculture, Mining & Unclassified",1976,6815,37190,10714,398452671,206.04
36,000,Statewide Total,03,Construction,1976,31599,189314,14160,2680589594,272.30
36,000,Statewide Total,04,Manufacturing,1976,34771,1435731,13429,19280020280,258.24
36,000,Statewide Total,05,Transportation & Public Utilities,1976,15504,491942,15651,7699512014,300.99
36,000,Statewide Total,06,Wholesale Trade,1976,40978,432731,15281,6612576685,293.87
36,000,Statewide Total,07,Retail Trade,1976,101602,987210,7178,7086667344,138.05
36,000,Statewide Total,08,"Finance,  Insurance & Real Estate",1976,43308,577163,13332,7694849345,256.39
36,000,Statewide Total,09,Services,1976,125843,1528502,10435,15950348659,200.68
36,000,Statewide Total,10,Public Administration,1976,994,161633,13702,2214710449,263.50
36,000,Statewide Total,00,All Industries,1975,399591,5837283,11252,65679632451,216.38
36,000,Statewide Total,01,"Agriculture, Mining & Unclassified",1975,7058,39225,10409,408274868,200.17
36,000,Statewide Total,03,Construction,1975,32595,211430,13971,2953974623,268.68
36,000,Statewide Total,04,Manufacturing,1975,35135,1419726,12557,17826881562,241.47
36,000,Statewide Total,05,Transportation & Public Utilities,1975,15131,504475,14394,7261201011,276.80
36,000,Statewide Total,06,Wholesale Trade,1975,40312,431785,14498,6260146952,278.81
36,000,Statewide Total,07,Retail Trade,1975,100337,975527,6857,6689393886,131.87
36,000,Statewide Total,08,"Finance,  Insurance & Real Estate",1975,43076,576732,12332,7112126070,237.15
36,000,Statewide Total,09,Services,1975,124808,1513207,9918,15007496697,190.72
36,000,Statewide Total,10,Public Administration,1975,1022,164498,13080,2151653286,251.54
36,001,Albany,00,All Industries,2000,9180,230962,35795,8267212779,688.36
36,001,Albany,01,"Agriculture, Mining & Unclassified",2000,198,1160,25625,29714241,492.79
36,001,Albany,03,Construction,2000,669,7210,41754,301043101,802.95
36,001,Albany,04,Manufacturing,2000,285,11943,45950,548761758,883.65
36,001,Albany,05,Transportation & Public Utilities,2000,360,15083,39869,601323399,766.70
36,001,Albany,06,Wholesale Trade,2000,744,11663,44618,520379139,858.04
36,001,Albany,07,Retail Trade,2000,2061,32306,17714,572270619,340.66
36,001,Albany,08,"Finance,  Insurance & Real Estate",2000,991,16461,46528,765887589,894.76
36,001,Albany,09,Services,2000,3725,88175,32519,2867401858,625.37
36,001,Albany,10,Public Administration,2000,147,46962,43875,2060431075,843.74
36,001,Albany,00,All Industries,1999,9249,228597,33746,7714157380,648.95
36,001,Albany,01,"Agriculture, Mining & Unclassified",1999,174,1126,24460,27535879,470.39
36,001,Albany,03,Construction,1999,682,6883,39953,274974959,768.32
36,001,Albany,04,Manufacturing,1999,296,12153,44217,537372956,850.33
36,001,Albany,05,Transportation & Public Utilities,1999,361,14191,37977,538920319,730.33
36,001,Albany,06,Wholesale Trade,1999,750,10938,42098,460486754,809.59
36,001,Albany,07,Retail Trade,1999,2094,33281,17666,587940693,339.73
36,001,Albany,08,"Finance,  Insurance & Real Estate",1999,985,16624,43121,716834247,829.24
36,001,Albany,09,Services,1999,3760,85638,30787,2636521774,592.06
36,001,Albany,10,Public Administration,1999,147,47765,40481,1933569799,778.49
36,001,Albany,00,All Industries,1998,8995,223410,32850,7338890830,631.72
36,001,Albany,01,"Agriculture, Mining & Unclassified",1998,227,1116,23865,26639286,458.94
36,001,Albany,03,Construction,1998,673,6591,38278,252279130,736.11
36,001,Albany,04,Manufacturing,1998,289,12317,43327,533664707,833.21
36,001,Albany,05,Transportation & Public Utilities,1998,355,13724,37630,516431555,723.66
36,001,Albany,06,Wholesale Trade,1998,747,10714,39607,424342032,761.67
36,001,Albany,07,Retail Trade,1998,2024,32570,17823,580501004,342.75
36,001,Albany,08,"Finance,  Insurance & Real Estate",1998,946,17933,40214,721172315,773.35
36,001,Albany,09,Services,1998,3589,82147,30252,2485129860,581.77
36,001,Albany,10,Public Administration,1998,145,46297,38852,1798730941,747.15
36,001,Albany,00,All Industries,1997,9061,221148,31336,6929993659,602.62
36,001,Albany,01,"Agriculture, Mining & Unclassified",1997,194,1120,21342,23892186,410.42
36,001,Albany,03,Construction,1997,688,6186,36964,228655419,710.84
36,001,Albany,04,Manufacturing,1997,295,12486,41959,523885572,806.90
36,001,Albany,05,Transportation & Public Utilities,1997,358,13551,35840,485682776,689.23
36,001,Albany,06,Wholesale Trade,1997,759,10601,37603,398618009,723.14
36,001,Albany,07,Retail Trade,1997,2062,32495,16110,523501279,309.81
36,001,Albany,08,"Finance,  Insurance & Real Estate",1997,947,17996,37426,673533542,719.73
36,001,Albany,09,Services,1997,3611,79974,28463,2276272593,547.36
36,001,Albany,10,Public Administration,1997,147,46740,38424,1795952283,738.93
36,001,Albany,00,All Industries,1996,9098,221527,30003,6646406078,576.97
36,001,Albany,01,"Agriculture, Mining & Unclassified",1996,190,1059,22523,23848427,433.14
36,001,Albany,03,Construction,1996,711,5791,35218,203951516,677.26
36,001,Albany,04,Manufacturing,1996,299,12431,39056,485488478,751.08
36,001,Albany,05,Transportation & Public Utilities,1996,373,13190,34566,455919359,664.74
36,001,Albany,06,Wholesale Trade,1996,758,10859,35630,386900737,685.19
36,001,Albany,07,Retail Trade,1996,2102,32603,15190,495235766,292.11
36,001,Albany,08,"Finance,  Insurance & Real Estate",1996,964,18119,34997,634106879,673.02
36,001,Albany,09,Services,1996,3555,79680,27515,2192393876,529.13
36,001,Albany,10,Public Administration,1996,146,47796,37002,1768561040,711.58
36,001,Albany,00,All Industries,1995,8989,224300,28676,6431932449,551.45
36,001,Albany,01,"Agriculture, Mining & Unclassified",1995,177,995,21759,21648596,418.45
36,001,Albany,03,Construction,1995,716,6135,33584,206038736,645.85
36,001,Albany,04,Manufacturing,1995,297,12505,37487,468753355,720.89
36,001,Albany,05,Transportation & Public Utilities,1995,364,12656,34524,436937388,663.93
36,001,Albany,06,Wholesale Trade,1995,752,10907,33986,370680497,653.57
36,001,Albany,07,Retail Trade,1995,2134,33349,14649,488508090,281.70
36,001,Albany,08,"Finance,  Insurance & Real Estate",1995,957,18512,32195,595984117,619.13
36,001,Albany,09,Services,1995,3446,80041,25919,2074586409,498.44
36,001,Albany,10,Public Administration,1995,146,49201,35950,1768795261,691.35
36,001,Albany,00,All Industries,1994,8576,223368,28373,6337622244,545.64
36,001,Albany,01,"Agriculture, Mining & Unclassified",1994,159,915,20732,18969975,398.70
36,001,Albany,03,Construction,1994,722,6032,34330,207081661,660.19
36,001,Albany,04,Manufacturing,1994,294,12794,35203,450378051,676.98
36,001,Albany,05,Transportation & Public Utilities,1994,337,12309,35046,431397397,673.97
36,001,Albany,06,Wholesale Trade,1994,743,10804,33578,362755807,645.72
36,001,Albany,07,Retail Trade,1994,2027,31493,14543,458014458,279.68
36,001,Albany,08,"Finance,  Insurance & Real Estate",1994,900,18798,32308,607343800,621.31
36,001,Albany,09,Services,1994,3248,78181,25365,1983086522,487.79
