Area Type, Area, Area Name, Standard Occupational Code, Occupational Title, Employment,Mean Wage, Median Wage, Entry Wage, Experienced Wage                                                                                                                                                                                                                                             
1,36,New York State,13-1020,Buyers and Purchasing Agents,27560,85288,78017,54542,100662
1,36,New York State,13-1031,"Claims Adjusters, Examiners, and Investigators",17070,85643,82024,57069,99930
1,36,New York State,13-1032,"Insurance Appraisers, Auto Damage",,92868,89399,70440,104083
1,36,New York State,13-1041,Compliance Officers,22000,90426,85172,56482,107398
1,36,New York State,13-1051,Cost Estimators,9680,92307,82412,55857,110533
1,36,New York State,13-1071,Human Resources Specialists,53700,91710,81999,54907,110112
1,36,New York State,13-1075,Labor Relations Specialists,7580,110391,104820,64523,133324
1,36,New York State,13-1081,Logisticians,6370,98367,86053,60643,117228
1,36,New York State,13-1082,Project Management Specialists,64440,121690,109399,72128,146472
1,36,New York State,13-1111,Management Analysts,59640,129521,108682,72273,158146
1,36,New York State,13-1121,"Meeting, Convention, and Event Planners",10490,85187,75669,47971,103796
1,36,New York State,13-1131,Fundraisers,12560,86657,79457,52253,103858
1,36,New York State,13-1141,"Compensation, Benefits, and Job Analysis Specialists",8370,95973,92743,63030,112444
1,36,New York State,13-1151,Training and Development Specialists,21910,82869,77269,48125,100240
1,36,New York State,13-1161,Market Research Analysts and Marketing Specialists,83450,98542,88157,57377,119125
1,36,New York State,13-1199,"Business Operations Specialists, All Other",33640,92801,83363,52834,112784
1,36,New York State,13-2011,Accountants and Auditors,119150,116065,103551,68074,140060
1,36,New York State,13-2020,Appraisers and Assessors of Real Estate,3330,87924,79404,52050,105861
1,36,New York State,13-2031,Budget Analysts,2990,102211,95663,68244,119194
1,36,New York State,13-2041,Credit Analysts,8550,145831,132822,79283,179106
1,36,New York State,13-2051,Financial Analysts,49220,146816,128152,84347,178051
1,36,New York State,13-2052,Personal Financial Advisors,27440,210873,165697,78840,276889
1,36,New York State,13-2053,Insurance Underwriters,6700,105846,96807,59731,128904
1,36,New York State,13-2054,Financial Risk Specialists,10990,163225,143067,94737,197470
1,36,New York State,13-2061,Financial Examiners,10900,131386,112211,72309,160925
1,36,New York State,13-2071,Credit Counselors,1570,66603,61832,47095,76357
1,36,New York State,13-2072,Loan Officers,11620,123017,99663,54074,157488
1,36,New York State,13-2081,"Tax Examiners and Collectors, and Revenue Agents",3310,78590,70266,51865,91953
1,36,New York State,13-2082,Tax Preparers,6570,74577,71410,44109,89811
1,36,New York State,13-2099,"Financial Specialists, All Other",6450,139799,103136,67496,175950
1,36,New York State,15-0000,Computer and Mathematical Occupations,297330,128053,117413,68153,158002
1,36,New York State,15-1211,Computer Systems Analysts,19760,120077,110755,75025,142602
1,36,New York State,15-1212,Information Security Analysts,8710,145020,133707,85145,174958
1,36,New York State,15-1221,Computer and Information Research Scientists,740,163222,156041,100112,194776
1,36,New York State,15-1231,Computer Network Support Specialists,7340,88999,82271,55940,105529
1,36,New York State,15-1232,Computer User Support Specialists,40430,72441,64979,45026,86148
1,36,New York State,15-1241,Computer Network Architects,9500,146720,138610,90845,174658
1,36,New York State,15-1242,Database Administrators,4390,107378,101070,61659,130238
1,36,New York State,15-1243,Database Architects,3780,148495,146531,94997,175244
1,36,New York State,15-1244,Network and Computer Systems Administrators,20020,112648,106003,72782,132580
1,36,New York State,15-1251,Computer Programmers,8430,119746,105457,72753,143243
1,36,New York State,15-1252,Software Developers,105460,154548,149861,94164,184742
1,36,New York State,15-1253,Software Quality Assurance Analysts and Testers,11750,127661,115127,77072,152956
1,36,New York State,15-1254,Web Developers,5950,97188,81619,50807,120379
1,36,New York State,15-1255,Web and Digital Interface Designers,15180,128881,120622,72091,157276
1,36,New York State,15-1299,"Computer Occupations, All Other",9320,116057,106014,62655,142758
1,36,New York State,15-2011,Actuaries,2890,165630,145012,92448,202222
1,36,New York State,15-2021,Mathematicians,,143711,127434,84665,173233
1,36,New York State,15-2031,Operations Research Analysts,5980,115244,102483,64079,140826
1,36,New York State,15-2041,Statisticians,1110,145113,122542,78476,178431
1,36,New York State,15-2051,Data Scientists,16390,138906,132778,77805,169456
1,36,New York State,15-2099,"Mathematical Science Occupations, All Other",,88819,74005,42533,111962
1,36,New York State,17-0000,Architecture and Engineering Occupations,104260,102155,90148,62752,121858
1,36,New York State,17-1011,"Architects, Except Landscape and Naval",10970,112457,99123,67324,135023
1,36,New York State,17-1012,Landscape Architects,3010,90695,87170,77359,97363
1,36,New York State,17-1021,Cartographers and Photogrammetrists,,80410,74362,53308,93960
1,36,New York State,17-1022,Surveyors,1540,92254,85450,60867,107947
1,36,New York State,17-2011,Aerospace Engineers,460,123205,106038,80297,144659
1,36,New York State,17-2031,Biomedical Engineers,860,119514,112647,78999,139771
1,36,New York State,17-2041,Chemical Engineers,590,113384,109944,70375,134888
1,36,New York State,17-2051,Civil Engineers,16450,117037,106290,74178,138466
1,36,New York State,17-2061,Computer Hardware Engineers,2640,147871,140285,98369,172621
1,36,New York State,17-2071,Electrical Engineers,7270,118346,110232,77539,138749
1,36,New York State,17-2072,"Electronics Engineers, Except Computer",2060,112820,107305,75111,131674
1,36,New York State,17-2081,Environmental Engineers,2370,104290,98728,68586,122142
1,36,New York State,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",1540,111645,108818,76902,129017
1,36,New York State,17-2112,Industrial Engineers,12330,105465,102099,74268,121064
1,36,New York State,17-2121,Marine Engineers and Naval Architects,460,114716,106535,100203,121974
1,36,New York State,17-2131,Materials Engineers,530,104764,98274,67448,123423
1,36,New York State,17-2141,Mechanical Engineers,8190,109507,100357,72891,127816
1,36,New York State,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",,93124,86197,65747,106813
1,36,New York State,17-2161,Nuclear Engineers,290,142535,132068,112507,157549
1,36,New York State,17-2199,"Engineers, All Other",5570,114612,112469,69208,137314
1,36,New York State,17-3011,Architectural and Civil Drafters,7250,72640,68718,49581,84169
1,36,New York State,17-3012,Electrical and Electronics Drafters,950,95369,85723,57667,114220
1,36,New York State,17-3013,Mechanical Drafters,1840,76439,72106,51843,88737
1,36,New York State,17-3019,"Drafters, All Other",1050,72094,63615,51014,82634
1,36,New York State,17-3021,Aerospace Engineering and Operations Technicians,,71825,73264,53461,81006
1,36,New York State,17-3022,Civil Engineering Technicians,1620,66497,65625,44178,77656
1,36,New York State,17-3023,Electrical and Electronic Engineering Technicians,4260,76028,75969,52406,87839
1,36,New York State,17-3024,Electro-Mechanical Technicians,450,80799,67647,54602,93898
1,36,New York State,17-3025,Environmental Engineering Technicians,700,62761,60434,48111,70087
1,36,New York State,17-3026,Industrial Engineering Technicians,2840,70112,66107,49619,80359
1,36,New York State,17-3027,Mechanical Engineering Technicians,1260,70266,66248,49144,80827
1,36,New York State,17-3028,Calibration Technologists and Technicians,420,63760,61211,44857,73213
1,36,New York State,17-3029,"Engineering Technicians, Except Drafters, All Other",2240,66395,62637,47953,75615
1,36,New York State,17-3031,Surveying and Mapping Technicians,1850,63917,59025,44392,73679
1,36,New York State,19-0000,"Life, Physical, and Social Science Occupations",78120,94467,82326,53161,115120
1,36,New York State,19-1011,Animal Scientists,,98803,101420,72887,111760
1,36,New York State,19-1012,Food Scientists and Technologists,720,100116,96377,69208,115571
1,36,New York State,19-1013,Soil and Plant Scientists,,84102,71056,56992,97656
1,36,New York State,19-1021,Biochemists and Biophysicists,960,112378,89859,61452,137842
1,36,New York State,19-1022,Microbiologists,990,90477,82736,56826,107302
1,36,New York State,19-1023,Zoologists and Wildlife Biologists,410,89108,80249,64837,101243
1,36,New York State,19-1029,"Biological Scientists, All Other",1970,121328,109606,78126,142930
1,36,New York State,19-1031,Conservation Scientists,670,83189,64421,45171,102198
1,36,New York State,19-1032,Foresters,250,80092,78091,59428,90423
1,36,New York State,19-1041,Epidemiologists,340,106396,89758,72233,123476
1,36,New York State,19-1042,"Medical Scientists, Except Epidemiologists",7650,112252,93244,66888,134934
1,36,New York State,19-1099,"Life Scientists, All Other",,89996,80249,62491,103748
1,36,New York State,19-2012,Physicists,970,173520,183521,97528,211515
1,36,New York State,19-2031,Chemists,5080,97011,85962,60217,115409
1,36,New York State,19-2032,Materials Scientists,660,142245,136303,94367,166185
1,36,New York State,19-2041,"Environmental Scientists and Specialists, Including Health",3680,93718,85093,61531,109811
1,36,New York State,19-2042,"Geoscientists, Except Hydrologists and Geographers",810,98665,87456,61353,117321
1,36,New York State,19-2043,Hydrologists,,105608,95532,68962,123931
1,36,New York State,19-2099,"Physical Scientists, All Other",1420,115643,107034,66403,140263
1,36,New York State,19-3022,Survey Researchers,420,87387,83343,58049,102056
1,36,New York State,19-3033,Clinical and Counseling Psychologists,7290,116648,102891,69769,140088
1,36,New York State,19-3034,School Psychologists,7280,109337,101954,71022,128493
1,36,New York State,19-3039,"Psychologists, All Other",660,109352,122401,48696,139679
1,36,New York State,19-3041,Sociologists,,108761,95962,78419,123932
1,36,New York State,19-3051,Urban and Regional Planners,2150,93897,85916,60990,110350
1,36,New York State,19-3091,Anthropologists and Archeologists,320,59526,55073,41625,68477
1,36,New York State,19-3093,Historians,500,56700,48181,34350,67875
1,36,New York State,19-3094,Political Scientists,,141197,137866,91459,166065
1,36,New York State,19-3099,"Social Scientists and Related Workers, All Other",2090,99425,92818,65947,116165
1,36,New York State,19-4012,Agricultural Technicians,,52086,47461,39031,58613
1,36,New York State,19-4013,Food Science Technicians,440,61455,52797,42244,71061
1,36,New York State,19-4021,Biological Technicians,4080,58721,57177,41304,67430
1,36,New York State,19-4031,Chemical Technicians,2330,61287,57876,43583,70138
1,36,New York State,19-4042,"Environmental Science and Protection Technicians, Including Health",1950,58152,54922,39809,67324
1,36,New York State,19-4043,"Geological Technicians, Except Hydrologic Technicians",,60201,51580,42870,68867
1,36,New York State,19-4044,Hydrologic Technicians,,65284,60321,43069,76392
1,36,New York State,19-4051,Nuclear Technicians,,107555,113995,71070,125797
1,36,New York State,19-4061,Social Science Research Assistants,3690,65719,60579,38804,79177
1,36,New York State,19-4071,Forest and Conservation Technicians,,58150,55459,44348,65051
1,36,New York State,19-4092,Forensic Science Technicians,590,85104,80005,60098,97608
1,36,New York State,19-4099,"Life, Physical, and Social Science Technicians, All Other",8280,65322,62980,44230,75868
1,36,New York State,19-5011,Occupational Health and Safety Specialists,5330,93073,84515,57875,110672
1,36,New York State,19-5012,Occupational Health and Safety Technicians,1040,63579,60192,43208,73765
1,36,New York State,21-0000,Community and Social Service Occupations,179900,68459,61466,42147,81615
1,36,New York State,21-1012,"Educational, Guidance, School, and Vocational Counselors",22700,75135,66486,46228,89588
1,36,New York State,21-1013,Marriage and Family Therapists,1070,65034,61236,36973,79064
1,36,New York State,21-1015,Rehabilitation Counselors,1730,58016,52353,40307,66871
1,36,New York State,21-1018,"Substance abuse, behavioral disorder, and mental health counselors?(OES-specific code and title)",24420,69270,61541,45281,81265
1,36,New York State,21-1019,"Counselors, All Other",400,53838,50341,36294,62609
1,36,New York State,21-1021,"Child, Family, and School Social Workers",22310,76320,69406,51951,88503
1,36,New York State,21-1022,Healthcare Social Workers,24900,65985,60634,45267,76344
1,36,New York State,21-1023,Mental Health and Substance Abuse Social Workers,12180,95268,78255,52750,116528
1,36,New York State,21-1029,"Social Workers, All Other",2450,84017,81427,62491,94780
1,36,New York State,21-1091,Health Educators,3000,66032,59797,44105,76996
1,36,New York State,21-1092,Probation Officers and Correctional Treatment Specialists,4140,86458,84513,65049,97162
1,36,New York State,21-1093,Social and Human Service Assistants,32780,48393,45366,35207,54986
1,36,New York State,21-1094,Community Health Workers,6380,59768,53482,42689,68308
1,36,New York State,21-1099,"Community and Social Service Specialists, All Other",5340,70748,66365,52768,79738
1,36,New York State,21-2011,Clergy,7910,73521,60091,38688,90937
1,36,New York State,21-2021,"Directors, Religious Activities and Education",6750,68026,50937,38178,82948
1,36,New York State,21-2099,"Religious Workers, All Other",1440,50873,34333,31520,60548
1,36,New York State,23-0000,Legal Occupations,125350,175727,136236,68402,229391
1,36,New York State,23-1011,Lawyers,86000,214780,185071,92370,275986
1,36,New York State,23-1012,Judicial Law Clerks,850,117154,127820,67632,141915
1,36,New York State,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",1060,121232,114449,86382,138656
1,36,New York State,23-1022,"Arbitrators, Mediators, and Conciliators",600,92591,82598,65519,106126
1,36,New York State,23-1023,"Judges, Magistrate Judges, and Magistrates",2500,190750,202112,138302,216975
1,36,New York State,23-2011,Paralegals and Legal Assistants,30930,81238,75967,53008,95353
1,36,New York State,23-2093,"Title Examiners, Abstractors, and Searchers",2230,79537,65798,47124,95743
1,36,New York State,23-2099,"Legal Support Workers, All Other",1190,89493,80935,50808,108836
1,36,New York State,25-0000,"Education, Training, and Library Occupations",695780,85256,69252,39740,108014
1,36,New York State,25-1011,"Business Teachers, Postsecondary",8550,143185,115049,62680,183438
1,36,New York State,25-1021,"Computer Science Teachers, Postsecondary",3770,116039,105645,59962,144077
1,36,New York State,25-1022,"Mathematical Science Teachers, Postsecondary",4170,124123,106864,65007,153682
1,36,New York State,25-1031,"Architecture Teachers, Postsecondary",1740,153113,134221,109835,174752
1,36,New York State,25-1032,"Engineering Teachers, Postsecondary",3290,145163,135778,82175,176658
1,36,New York State,25-1042,"Biological Science Teachers, Postsecondary",3970,129115,110225,66418,160463
1,36,New York State,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",2500,123978,107878,62622,154657
1,36,New York State,25-1052,"Chemistry Teachers, Postsecondary",1800,117656,103807,66960,143004
1,36,New York State,25-1053,"Environmental Science Teachers, Postsecondary",600,113717,104330,62401,139374
1,36,New York State,25-1054,"Physics Teachers, Postsecondary",1170,125207,110840,69882,152869
1,36,New York State,25-1061,"Anthropology and Archeology Teachers, Postsecondary",610,126416,110892,71971,153638
1,36,New York State,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",2010,114663,102028,69940,137025
1,36,New York State,25-1063,"Economics Teachers, Postsecondary",1560,150609,138759,81314,185256
1,36,New York State,25-1064,"Geography Teachers, Postsecondary",,97988,89815,65588,114188
1,36,New York State,25-1065,"Political Science Teachers, Postsecondary",1590,139091,121430,72850,172211
1,36,New York State,25-1066,"Psychology Teachers, Postsecondary",3730,116054,104319,61574,143293
1,36,New York State,25-1067,"Sociology Teachers, Postsecondary",1300,123235,107217,64847,152429
1,36,New York State,25-1069,"Social Sciences Teachers, Postsecondary, All Other",2690,114375,93914,54005,144561
1,36,New York State,25-1071,"Health Specialties Teachers, Postsecondary",22180,153591,134220,74243,193266
1,36,New York State,25-1072,"Nursing Instructors and Teachers, Postsecondary",4760,106087,96427,53611,132326
1,36,New York State,25-1081,"Education Teachers, Postsecondary",4820,109644,86760,52312,138310
1,36,New York State,25-1082,"Library Science Teachers, Postsecondary",,70513,65676,43694,83923
1,36,New York State,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",970,105601,87572,53819,131492
1,36,New York State,25-1112,"Law Teachers, Postsecondary",2040,156043,133224,75007,196560
1,36,New York State,25-1113,"Social Work Teachers, Postsecondary",1430,99038,89300,58015,119549
1,36,New York State,25-1121,"Art, Drama, and Music Teachers, Postsecondary",19400,149236,111283,66511,190597
1,36,New York State,25-1122,"Communications Teachers, Postsecondary",3320,113775,94273,57108,142109
1,36,New York State,25-1123,"English Language and Literature Teachers, Postsecondary",6460,113933,104052,59667,141066
1,36,New York State,25-1124,"Foreign Language and Literature Teachers, Postsecondary",1660,111578,89697,59616,137559
1,36,New York State,25-1125,"History Teachers, Postsecondary",1660,114564,104804,65184,139254
1,36,New York State,25-1126,"Philosophy and Religion Teachers, Postsecondary",1880,115613,98396,58093,144373
1,36,New York State,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",740,96404,86311,50321,119444
1,36,New York State,25-1194,"Vocational Education Teachers, Postsecondary",4800,87316,68271,51889,105029
1,36,New York State,25-1199,"Postsecondary Teachers, All Other",3640,126054,106689,60926,158618
1,36,New York State,25-2011,"Preschool Teachers, Except Special Education",29090,50788,44768,35407,58479
1,36,New York State,25-2012,"Kindergarten Teachers, Except Special Education",7910,94057,85673,55125,113522
1,36,New York State,25-2021,"Elementary School Teachers, Except Special Education",105770,97458,88290,58855,116760
1,36,New York State,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",41820,98042,87887,64897,114615
1,36,New York State,25-2023,"Career/Technical  Education Teachers, Middle School",1570,92062,82654,62656,106765
1,36,New York State,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",62300,99312,97554,62113,117910
1,36,New York State,25-2032,"Career/Technical Education Teachers, Secondary School",6070,89364,84578,61689,103202
1,36,New York State,25-2052,"Special Education Teachers, Kindergarten and Elementary School",18740,96834,87275,63070,113716
1,36,New York State,25-2057,"Special Education Teachers, Middle School",7780,97317,94798,64599,113676
1,36,New York State,25-2058,"Special Education Teachers, Secondary School",15050,95698,86717,60129,113482
1,36,New York State,25-2059,"Special Education Teachers, All Other",4270,111026,100866,56955,138062
1,36,New York State,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,2670,80715,77759,51353,95396
1,36,New York State,25-3021,Self-Enrichment Education Teachers,29060,71816,58698,38106,88670
1,36,New York State,25-3031,"Substitute Teachers, Short-Term",32540,49116,40697,35158,56095
1,36,New York State,25-3041,Tutors,13260,70704,47153,35483,88315
1,36,New York State,25-3099,"Teachers and Instructors, All Other",2640,96873,85971,55207,117706
1,36,New York State,25-4011,Archivists,1090,72585,67943,48310,84722
1,36,New York State,25-4012,Curators,1510,111906,86754,57382,139167
1,36,New York State,25-4013,Museum Technicians and Conservators,1080,73975,68478,46988,87468
1,36,New York State,25-4022,Librarians and Media Collections Specialists,11010,84787,79149,56723,98818
1,36,New York State,25-4031,Library Technicians,3720,49317,48865,34563,56693
1,36,New York State,25-9031,Instructional Coordinators,17870,83885,81453,53971,98841
1,36,New York State,25-9044,"Teaching Assistants, Postsecondary",16200,53471,50995,36025,62194
1,36,New York State,25-9045,"Teaching Assistants, Except Postsecondary",132660,41120,38142,32574,45392
1,36,New York State,25-9099,"Education, Training, and Library Workers, All Other",700,62371,54964,34563,76274
1,36,New York State,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",212540,106058,81252,47323,135426
1,36,New York State,27-1011,Art Directors,8680,166368,155387,89430,204837
1,36,New York State,27-1012,Craft Artists,,61415,55276,40256,71994
1,36,New York State,27-1014,Multimedia Artists and Animators,1950,119161,104032,63125,147178
1,36,New York State,27-1021,Commercial and Industrial Designers,3050,86140,77469,55865,101276
1,36,New York State,27-1022,Fashion Designers,7930,102012,83219,57071,124482
1,36,New York State,27-1023,Floral Designers,2320,42482,39642,34357,46544
1,36,New York State,27-1024,Graphic Designers,18320,82814,76657,51303,98569
1,36,New York State,27-1025,Interior Designers,6900,77588,76384,47602,92581
1,36,New York State,27-1026,Merchandise Displayers and Window Trimmers,9020,47074,41420,34836,53194
1,36,New York State,27-1027,Set and Exhibit Designers,1510,73887,61142,45616,88023
1,36,New York State,27-1029,"Designers, All Other",1250,96728,81551,61054,114565
1,36,New York State,27-2012,Producers and Directors,29180,143258,106381,63469,183153
1,36,New York State,27-2021,Athletes and Sports Competitors,,237456,85029,57577,327395
1,36,New York State,27-2022,Coaches and Scouts,12710,63077,49751,35961,76635
1,36,New York State,27-2032,Choreographers,280,108984,107834,56286,135333
1,36,New York State,27-3031,Public Relations Specialists,25080,92197,81205,53065,111763
1,36,New York State,27-3041,Editors,17900,112945,95482,60687,139074
1,36,New York State,27-3042,Technical Writers,2420,96864,87999,48831,120880
1,36,New York State,27-3043,Writers and Authors,7540,124731,101543,63342,155426
1,36,New York State,27-3091,Interpreters and Translators,3720,82984,76842,45708,101623
1,36,New York State,27-3092,Court Reporters and Simultaneous Captioners,1050,103952,108234,70004,120926
1,36,New York State,27-4011,Audio and Video Equipment Technicians,8410,69490,59333,43738,82367
1,36,New York State,27-4012,Broadcast Technicians,,74980,64057,37421,93760
1,36,New York State,27-4014,Sound Engineering Technicians,1460,92151,81538,53688,111382
1,36,New York State,27-4015,Lighting Technicians,750,90993,82715,59168,106905
1,36,New York State,27-4021,Photographers,4050,83579,62674,38244,106245
1,36,New York State,27-4031,"Camera Operators, Television, Video, and Motion Picture",3260,94335,96719,55130,113938
1,36,New York State,27-4032,Film and Video Editors,4900,110401,102393,57997,136603
1,36,New York State,27-4099,"Media and Communication Equipment Workers, All Other",,85920,83378,51042,103360
1,36,New York State,29-0000,Healthcare Practitioners and Technical Occupations,564450,115578,98946,58592,144070
1,36,New York State,29-1011,Chiropractors,3330,96361,79073,69030,110026
1,36,New York State,29-1021,"Dentists, General",6890,162901,162680,70373,209166
1,36,New York State,29-1022,Oral and Maxillofacial Surgeons,360,292853,,197839,
1,36,New York State,29-1023,Orthodontists,300,234899,175867,119411,292643
1,36,New York State,29-1029,"Dentists, All Other Specialists",350,260263,228897,107220,336786
1,36,New York State,29-1031,Dietitians and Nutritionists,5200,82939,80249,59725,94545
1,36,New York State,29-1041,Optometrists,2010,157059,162240,99572,185803
1,36,New York State,29-1051,Pharmacists,20310,137054,138413,106079,152543
1,36,New York State,29-1071,Physician Assistants,16690,142588,141643,101462,163151
1,36,New York State,29-1081,Podiatrists,1420,129896,106606,64530,162578
1,36,New York State,29-1122,Occupational Therapists,10460,110782,104919,71034,130656
1,36,New York State,29-1123,Physical Therapists,15560,103852,100734,72780,119387
1,36,New York State,29-1124,Radiation Therapists,1110,131240,122596,92643,150538
1,36,New York State,29-1125,Recreational Therapists,1360,68428,65091,50678,77303
1,36,New York State,29-1126,Respiratory Therapists,6540,101755,101621,78628,113319
1,36,New York State,29-1127,Speech-Language Pathologists,16610,101206,97201,55962,123828
1,36,New York State,29-1128,Exercise Physiologists,,74922,67899,50914,86927
1,36,New York State,29-1129,"Therapists, All Other",1320,77959,65840,48201,92838
1,36,New York State,29-1131,Veterinarians,3420,155668,134427,89159,188922
1,36,New York State,29-1141,Registered Nurses,188060,109837,107734,77481,126016
1,36,New York State,29-1151,Nurse Anesthetists,1130,263897,,218369,286662
1,36,New York State,29-1161,Nurse Midwives,740,139198,133716,114345,151625
1,36,New York State,29-1171,Nurse Practitioners,16670,147138,141785,107844,166786
1,36,New York State,29-1181,Audiologists,590,97007,85997,68302,111361
1,36,New York State,29-1211,Anesthesiologists,1500,318452,,81282,
1,36,New York State,29-1212,Cardiologists,1890,415009,,164110,
1,36,New York State,29-1213,Dermatologists,1180,314369,,118235,412438
1,36,New York State,29-1214,Emergency Medicine Physicians,4440,258878,,103703,336466
1,36,New York State,29-1215,Family Medicine Physicians,4240,226302,,124814,277046
1,36,New York State,29-1216,General Internal Medicine Physicians,12950,206371,180339,80823,269145
1,36,New York State,29-1217,Neurologists,1220,291744,,124467,
1,36,New York State,29-1218,Obstetricians and Gynecologists,2350,270730,,100517,355837
1,36,New York State,29-1221,"Pediatricians, General",4560,178082,165254,78378,227934
1,36,New York State,29-1222,"Physicians, Pathologists",900,253963,229467,75702,343095
1,36,New York State,29-1223,Psychiatrists,4480,232463,237845,89227,304081
1,36,New York State,29-1224,Radiologists,1890,354804,,101595,
1,36,New York State,29-1229,"Physicians, All Other",13090,234798,216967,83729,310334
1,36,New York State,29-1241,"Ophthalmologists, Except Pediatric",1150,334620,,159810,
1,36,New York State,29-1243,Pediatric Surgeons,,370568,,235188,
1,36,New York State,29-1249,"Surgeons, All Other",4030,276021,134374,82421,372822
1,36,New York State,29-1291,Acupuncturists,,91703,85015,60933,107088
1,36,New York State,29-1292,Dental Hygienists,12100,89930,96427,69612,100089
1,36,New York State,29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",,120854,109239,73422,144571
1,36,New York State,29-2010,Clinical Laboratory Technologists and Technicians,17770,84403,83356,50151,101528
1,36,New York State,29-2031,Cardiovascular Technologists and Technicians,3310,83805,84441,53070,99172
1,36,New York State,29-2032,Diagnostic Medical Sonographers,5960,97023,99760,77838,106615
1,36,New York State,29-2033,Nuclear Medicine Technologists,930,109154,108016,89652,118906
1,36,New York State,29-2034,Radiologic Technologists,14330,87910,85767,64351,99688
1,36,New York State,29-2035,Magnetic Resonance Imaging Technologists,2770,99824,105551,73993,112739
1,36,New York State,29-2036,Medical Dosimetrists,,163121,166326,128069,180647
1,36,New York State,29-2042,Emergency Medical Technicians,11330,49415,45773,38206,55019
