County,County MAPSYM,MAPSYM,MUKEY,Default Mineral Soil Group,Multiple MSG Flag,Flag - MSG Values,Flag - Fields,Capability Class (FM5 CAP),Soil Temp. Regime,Soil Modifier,Soil Slope,Soil Name,Drainage,Modifier,Texture,Flooding,Lime,Rotation,Corn Yield (ton/acre),Hay Yield (ton/acre),Change,TDN (ton/acre),Index (TDN)
Albany,NY001_CHC,ChC,288709,5,,,,3E,Mesic,Loamy Subsstratum,"""08-15""",CHENANGO,Well Drained to Excessively Well Drained,Gravelly,Silty Loam,,Requires lime additions within every rotation,2,13.5,2.97,,1.73,38.06
Albany,NY001_CHD,ChD,288710,6,,,,4E,Mesic,Loamy Subsstratum,"""15-25""",CHENANGO,Well Drained to Excessively Well Drained,Gravelly,Silty Loam,,Requires lime additions within every rotation,1,11.25,2.6,,1.4,30.73
Albany,NY001_CKB,CkB,288711,2,,,,2S,Mesic,Alluvial Fan,"""03-08""",CHENANGO,Well Drained to Excessively Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,6,16.94,3.685,,2.77,61.01
Albany,NY001_CLA,ClA,288712,3,,,,2W,Mesic,,"""00-03""",CLAVERACK,Moderately Well-Drained,,Loamy Fine Sand,,Requires lime additions within every rotation,6,15.2,3.35,,2.49,54.93
Albany,NY001_CLB,ClB,288713,3,,,,2W,Mesic,,"""03-08""",CLAVERACK,Moderately Well-Drained,,Loamy Fine Sand,,Requires lime additions within every rotation,5,15.2,3.35,,2.36,51.93
Albany,NY001_COA,CoA,288714,4,,,,2S,Mesic,,"""00-03""",COLONIE,Well Drained to Excessively Well Drained,,Loamy Fine Sand,,Requires lime additions within every rotation,7,13.5,2.68,,2.29,50.48
Albany,NY001_COB,CoB,288715,4,,,,2S,Mesic,,"""03-08""",COLONIE,Well Drained to Excessively Well Drained,,Loamy Fine Sand,,Requires lime additions within every rotation,5,13.5,2.68,,2.02,44.49
Albany,NY001_COC,CoC,288716,6,,,,3E,Mesic,Rolling,"""08-15""",COLONIE,Well Drained to Excessively Well Drained,,Loamy Fine Sand,,Requires lime additions within every rotation,4,12,1.95,,1.55,34.03
Albany,NY001_COD,CoD,288717,7,,,,4E,Mesic,Hilly,"""15-25""",COLONIE,Well Drained to Excessively Well Drained,,Loamy Fine Sand,,Requires lime additions within every rotation,2,10.5,1.6,,1.06,23.35
Albany,NY001_COE,CoE,288718,8,,,,7E,Mesic,Very Hilly,"""25-35""",COLONIE,Well Drained to Excessively Well Drained,,Loamy Fine Sand,,Requires lime additions within every rotation,0,0,0.72,,0.36,7.93
Albany,NY001_CS,Cs,288719,4,,,,3W,Mesic,,"""00-03""",COSAD,Somewhat Well-Drained,,Loamy Fine Sand,,Requires lime additions within every rotation,5,13.5,2.68,,2.02,44.49
Albany,NY001_DU,Du,288720,9,,,,8S,,,,DUMPS,,,,,,0,0,0,,0,0
Albany,NY001_ELA,ElA,288721,2,,,,2W,Mesic,,"""00-03""",ELMRIDGE,Moderately Well-Drained,,Fine Sandy Loam,,Requires lime additions within every rotation,6,17.71,3.015,,2.73,60.09
Albany,NY001_ELB,ElB,288722,3,,,,2W,Mesic,,"""03-08""",ELMRIDGE,Moderately Well-Drained,,Fine Sandy Loam,,Requires lime additions within every rotation,5,17.48,3.015,,2.5,55.1
Albany,NY001_ENA,EnA,288723,4,,,,3W,Mesic,,"""00-03""",ELNORA,Moderately Well-Drained,,Loamy Fine Sand,,Requires lime additions within every rotation,5,13.5,2.68,,2.02,44.49
Albany,NY001_ENB,EnB,288724,4,,,,3W,Mesic,,"""03-08""",ELNORA,Moderately Well-Drained,,Loamy Fine Sand,,Requires lime additions within every rotation,5,13.5,2.68,,2.02,44.49
Albany,NY001_FAB,FaB,288725,6,,,,3E,Mesic,,"""00-08""",FARMINGTON,Well Drained to Excessively Well Drained,,Silty Loam,,Requires little lime in the crop rotation,5,9.75,1.95,,1.46,32.21
Albany,NY001_FRB,FrB,288726,7,,,,6S,Mesic,,"""00-08""",FARMINGTON-ROCK OUTCRO,Well Drained to Excessively Well Drained,,Silty Loam,,Requires little lime in the crop rotation,3,9,1.6,,1.1,24.23
Albany,NY001_FRC,FrC,288727,8,,,,6S,Mesic,,"""08-15""",FARMINGTON-ROCK OUTCRO,Well Drained to Excessively Well Drained,,Silty Loam,,Requires little lime in the crop rotation,1,9,0.96,,0.48,10.57
Albany,NY001_FRF,FrF,288728,9,,,,7S,Mesic,,"""25-60""",FARMINGTON-ROCK OUTCRO,Well Drained to Excessively Well Drained,,Silty Loam,,Requires little lime in the crop rotation,,0,0,,0,0
Albany,NY001_FWC,FwC,288729,8,,,,6S,Mesic,Rolling,"""08-15""",FARMINGTON-WASSAIC-ROC,Well Drained to Excessively Well Drained,,Silty Loam,,Requires little lime in the crop rotation,1,9,0.96,,0.48,10.57
Albany,NY001_FX,Fx,288730,9,,,,5W,,Frequently Flooded,"""00-03""",FLUVAQUENTS-UDIFLUVENT,,,,,,0,0,0,,0,0
Albany,NY001_GR,Gr,288731,8,,,,5W,Mesic,,"""00-02""",GRANBY,Poorly Drained to Very Poorly Drained,,Loamy Fine Sand,,Requires lime additions within every rotation,2,10.5,0.96,,0.48,10.57
Albany,NY001_HA,Ha,288732,1,Yes,135,Flooding,1,Mesic,,"""00-03""",HAMLIN,Well Drained,,Silty Loam,Rarely,Requires lime additions within every rotation,7,20.28,4.02,,3.44,75.82
Albany,NY001_HNA,HnA,288733,6,,,,3W,Mesic,,"""00-03""",HORNELL,Somewhat Well-Drained,,Silty Loam,,Requires lime additions within every rotation,3,12,1.95,,1.4,30.89
Albany,NY001_HNB,HnB,288734,6,,,,3W,Mesic,,"""03-08""",HORNELL,Somewhat Well-Drained,,Silty Loam,,Requires lime additions within every rotation,3,12,1.95,,1.4,30.89
Albany,NY001_HNC,HnC,288735,7,,,,3E,Mesic,,"""08-15""",HORNELL,Somewhat Well-Drained,,Silty Loam,,Requires lime additions within every rotation,1,10.5,1.6,,0.93,20.48
Albany,NY001_HOA,HoA,288736,2,,,,2S,Mesic,,"""00-03""",HOWARD,Well Drained to Excessively Well Drained,Gravelly,Silty Loam,,Requires lime additions within every rotation,7,17.71,3.685,,3.03,66.79
Albany,NY001_HOB,HoB,288737,2,,,,2S,Mesic,,"""03-08""",HOWARD,Well Drained to Excessively Well Drained,Gravelly,Silty Loam,,Requires lime additions within every rotation,6,16.94,3.685,,2.77,61.01
Albany,NY001_HOC,HoC,288738,5,,,,3E,Mesic,Rolling,"""08-15""",HOWARD,Well Drained to Excessively Well Drained,Gravelly,Silty Loam,,Requires lime additions within every rotation,3,13.5,2.97,,1.85,40.74
Albany,NY001_HUB,HuB,288739,3,,,,2E,Mesic,,"""03-08""",HUDSON,Moderately Well-Drained,,Silty Loam,,Requires lime additions within every rotation,4,17.48,3.35,,2.4,52.94
Albany,NY001_HUC,HuC,288740,6,,,,3E,Mesic,,"""08-15""",HUDSON,Moderately Well-Drained,,Silty Loam,,Requires lime additions within every rotation,1,15,2.6,,1.47,32.38
Albany,NY001_HUD,HuD,288741,7,,,,4E,Mesic,Hilly,"""15-25""",HUDSON,Moderately Well-Drained,,Silty Loam,,Requires lime additions within every rotation,1,15,2.56,,1.45,31.98
Albany,NY001_HUE,HuE,288742,9,,,,7E,Mesic,,"""25-45""",HUDSON,Moderately Well-Drained,,Silty Loam,,Requires lime additions within every rotation,0,0,0,,0,0
Albany,NY001_IN,In,288743,7,,,,4W,Mesic,,"""00-03""",ILION,Poorly Drained,,Silty Loam,,Requires lime additions within every rotation,3,11.25,1.6,,1.24,27.2
Albany,NY001_KEB,KeB,288744,6,,,,3S,Mesic,,"""00-08""",KEARSARGE,Excessively Drained,,Silty Loam,,Requires lime additions within every rotation,3,11.25,1.95,,1.36,29.9
Albany,NY001_LAC,LaC,288745,6,,,,3E,Cryic,,"""08-15""",LACKAWANNA,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,1,12,2.275,,1.26,27.84
Albany,NY001_LAD,LaD,288746,7,,,,4E,Cryic,,"""15-25""",LACKAWANNA,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,0,0,1.92,,0.96,21.15
Albany,NY001_LCE,LcE,288747,8,,,,6S,Cryic,,"""15-25""",LACKAWANNA,Well Drained,Extremely Stoney,Silty Loam,,Requires lime additions within every rotation,0,0,0,,0,0
Albany,NY001_LOA,LoA,288748,4,,,,2S,Cryic,,"""00-03""",LORDSTOWN,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,7,12,2.345,,2.03,44.75
Albany,NY001_LOB,LoB,288749,5,,,,2E,Cryic,,"""03-08""",LORDSTOWN,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,5,12,2.31,,1.78,39.15
Albany,NY001_LOC,LoC,288750,7,,,,3E,Cryic,,"""08-15""",LORDSTOWN,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,2,10.5,1.6,,1.06,23.35
Albany,NY001_LOD,LoD,288751,8,,,,4E,Cryic,,"""15-25""",LORDSTOWN,Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,1,7.5,0.96,,0.48,10.57
Albany,NY001_LRE,LrE,288752,8,,,,7E,Cryic,,"""25-35""",LORDSTOWN-ARNOT,Moderately Well-Drained,Very Rocky/Channery,Silty Loam,,Requires lime additions within every rotation,,0,0,,0,0
Albany,NY001_MA,Ma,288753,7,,,,4W,Mesic,,"""00-03""",MADALIN,Poorly Drained to Very Poorly Drained,,Silty Loam,,Requires lime additions within every rotation,3,10.5,1.6,,1.19,26.21
Albany,NY001_MBB,MbB,288754,4,,,,2E,Mesic,,"""03-08""",MANLIUS,Well Drained to Excessively Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,5,13.5,3.015,,2.1,46.34
Albany,NY001_MBC,MbC,288755,6,,,,3E,Mesic,,"""08-15""",MANLIUS,Well Drained to Excessively Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,2,12,2.275,,1.39,30.62
Albany,NY001_MBD,MbD,288756,7,,,,4E,Mesic,,"""15-25""",MANLIUS,Well Drained to Excessively Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,1,9.75,1.92,,1.06,23.33
Albany,NY001_MBE,MbE,288757,8,,,,6E,Mesic,,"""25-35""",MANLIUS,Well Drained to Excessively Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,0,0,0.96,,0.48,10.57
Albany,NY001_MH,Mh,288758,10,,,,8W,,Ponded,"""00-03""",MEDIHEMISTS-HYDRAQUEN,,,,,,0,0,0,,0,0
Albany,NY001_MK,Mk,288759,2,Yes,235667,"Flooding,Drainage",2W,Mesic,,"""00-02""",MIDDLEBURY,Moderately Well-Drained,,Silty Loam,Rarely,Requires lime additions within every rotation,6,17.71,3.35,,2.8,61.57
Albany,NY001_MOB,MoB,288760,7,,,,3W,Cryic,,"""03-08""",MORRIS,Somewhat Well-Drained,Channery,Silty Loam,,Requires lime additions within every rotation,3,10.5,1.6,,1.19,26.21
Albany,NY001_MOC,MoC,288761,8,,,,3E,Cryic,,"""08-15""",MORRIS,Somewhat Well-Drained,Channery,Silty Loam,,Requires lime additions within every rotation,3,8.25,0.96,,0.48,10.57
Albany,NY001_MRB,MrB,288762,8,,,,6S,Cryic,,"""03-08""",MORRIS,Somewhat Well-Drained,Extremely Stoney,Silty Loam,,Requires lime additions within every rotation,3,12,1.44,,0.72,15.86
Albany,NY001_NAB,NaB,288763,7,,,,3E,Mesic,Undulating,"""03-08""",NASSAU,Excessively Drained,Channery,Silty Loam,,Requires lime additions within every rotation,5,7.5,1.92,,1.23,27.09
Albany,NY001_NAC,NaC,288764,7,,,,4E,Mesic,Rolling,"""08-15""",NASSAU,Excessively Drained,Channery,Silty Loam,,Requires lime additions within every rotation,3,6.75,1.6,,0.97,21.26
Albany,NY001_NRC,NrC,288765,8,,,,6S,Mesic,Rolling,"""08-15""",NASSAU,Excessively Drained,Very Rocky/Very Channery,Silty Loam,,Requires lime additions within every rotation,3,6.75,1.2,,0.6,13.22
Albany,NY001_NRD,NrD,288766,8,,,,6S,Mesic,Hilly,"""15-25""",NASSAU,Excessively Drained,Very Rocky/Very Channery,Silty Loam,,Requires lime additions within every rotation,1,6,0.96,,0.48,10.57
Albany,NY001_NUB,NuB,288767,3,,,,2E,Mesic,,"""03-08""",NUNDA,Moderately Well-Drained,,Silty Loam,,Requires lime additions within every rotation,5,15.96,3.35,,2.43,53.6
Albany,NY001_NUC,NuC,288768,6,,,,3E,Mesic,,"""08-15""",NUNDA,Moderately Well-Drained,,Silty Loam,,Requires lime additions within every rotation,1,14.25,2.6,,1.46,32.05
Albany,NY001_NUD,NuD,288769,7,,,,4E,Mesic,,"""15-25""",NUNDA,Moderately Well-Drained,,Silty Loam,,Requires lime additions within every rotation,0,0,2.24,,1.12,24.67
Albany,NY001_NUE,NuE,288770,8,,,,6E,Mesic,,"""25-35""",NUNDA,Moderately Well-Drained,,Silty Loam,,Requires lime additions within every rotation,0,0,1.2,,0.6,13.22
Albany,NY001_NVC,NvC,288771,8,,,,6S,Mesic,,"""03-15""",NUNDA,Moderately Well-Drained,Very Stoney,Silty Loam,,Requires lime additions within every rotation,,0,0,,0,0
Albany,NY001_NVE,NvE,288772,8,,,,7S,Mesic,,"""15-35""",NUNDA,Moderately Well-Drained,Very Stoney,Silty Loam,,Requires lime additions within every rotation,,0,0,,0,0
Albany,NY001_OQB,OqB,288773,4,,,,2E,Mesic,,"""03-08""",OQUAGA,Well Drained to Excessively Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,5,12.75,3.015,,2.03,44.69
Albany,NY001_OQC,OqC,288774,6,,,,3E,Mesic,,"""08-15""",OQUAGA,Well Drained to Excessively Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,3,11.25,2.275,,1.47,32.41
Albany,NY001_OQD,OqD,288775,7,,,,4E,Mesic,,"""15-25""",OQUAGA,Well Drained to Excessively Well Drained,Channery,Silty Loam,,Requires lime additions within every rotation,1,9,1.92,,1.04,23
Albany,NY001_PA,Pa,288776,6,Yes,610,"Capability Class,Soil Modifier",3W,Mesic,Drained,"""00-03""",PALMS,Bog,,Muck,,Requires lime additions within every rotation,5,9,1.625,,1.31,28.77
Albany,NY001_PM,Pm,288777,9,,,,8S,,Gravely,,PITS,,,,,,0,0,0,,0,0
Albany,NY001_PN,Pn,288778,9,,,,8S,,Quarry,,PITS,,,,,,0,0,0,,0,0
Albany,NY001_RA,Ra,288779,5,,,,3W,Mesic,,"""00-03""",RAYNHAM,Poorly Drained,,Very Fine Sandy Loam,,Requires lime additions within every rotation,4,12,2.31,,1.65,36.41
Albany,NY001_RHA,RhA,288780,5,,,,3W,Mesic,,"""00-03""",RHINEBECK,Somewhat Well-Drained,,Silty Clay Loam,,Requires lime additions within every rotation,4,13.5,2.64,,1.87,41.23
Albany,NY001_RHB,RhB,288781,5,,,,3W,Mesic,,"""03-08""",RHINEBECK,Somewhat Well-Drained,,Silty Clay Loam,,Requires lime additions within every rotation,4,13.5,2.64,,1.87,41.23
Albany,NY001_RKA,RkA,288782,3,,,,2S,Mesic,,"""00-03""",RIVERHEAD,Well Drained,,Fine Sandy Loam,,Requires lime additions within every rotation,7,13.68,3.015,,2.37,52.15
Albany,NY001_RKB,RkB,288783,4,,,,2S,Mesic,,"""03-08""",RIVERHEAD,Well Drained,,Fine Sandy Loam,,Requires lime additions within every rotation,5,13.5,3.015,,2.1,46.34
Albany,NY001_RKC,RkC,288784,6,,,,3E,Mesic,,"""08-15""",RIVERHEAD,Well Drained,,Fine Sandy Loam,,Requires lime additions within every rotation,2,12,2.275,,1.39,30.62
Albany,NY001_SCA,ScA,288785,2,,,,2W,Mesic,,"""00-03""",SCIO,Moderately Well-Drained,,Silty Loam,,Requires lime additions within every rotation,6,17.71,3.35,,2.8,61.57
Albany,NY001_SCB,ScB,288786,4,,,,2E,Mesic,,"""03-08""",SCIO,Moderately Well-Drained,,Silty Loam,,Requires lime additions within every rotation,3,17.25,3.35,,2.21,48.62
Albany,NY001_SH,Sh,288787,5,,,,3W,Mesic,,"""00-03""",SHAKER,Somewhat Poorly Drained to Poorly Drained,,Fine Sandy Loam,,Requires lime additions within every rotation,5,13.5,2.31,,1.93,42.46
Albany,NY001_ST,St,288788,5,,,,3W,Mesic,,"""00-03""",STAFFORD,Somewhat Well-Drained,,Loamy Fine Sand,,Requires lime additions within every rotation,5,12,1.98,,1.7,37.33
Albany,NY001_SUA,SuA,288789,4,,,,2W,Mesic,,"""00-03""",SUDBURY,Moderately Well-Drained,,Fine Sandy Loam,,Requires lime additions within every rotation,6,13.5,3.015,,2.22,48.96
Albany,NY001_SUB,SuB,288790,4,,,,2W,Mesic,,"""03-08""",SUDBURY,Moderately Well-Drained,,Fine Sandy Loam,,Requires lime additions within every rotation,5,13.5,3.015,,2.1,46.34
Albany,NY001_TE,Te,288791,2,Yes,236,"Flooding,Capability Class",2W,Mesic,,"""00-03""",TEEL,Moderately Well-Drained,,Silty Loam,Rarely,Requires lime additions within every rotation,6,18.48,3.35,,2.89,63.6
Albany,NY001_TMA,TmA,288687,6,Yes,610,"Capability Class,Soil Modifier",4W,Mesic,Drained,"""00-02""",TIMAKWA,Bog,,Muck,,Requires lime additions within every rotation,5,9,1.625,,1.31,28.77
Albany,NY001_TO,To,288792,1,Yes,135,"Flooding,Capability Class",1,Mesic,,"""00-02""",TIOGA,Well Drained,,Silty Loam,Rarely,Requires lime additions within every rotation,7,18.72,3.685,,3.17,69.9
Albany,NY001_TUB,TuB,288793,7,,,,4W,Mesic,,"""00-08""",TULLER-GREENE,Somewhat Poorly Drained to Poorly Drained,Channery,Silty Loam,,Requires lime additions within every rotation,3,10.5,1.6,,1.19,26.21
Albany,NY001_UD,Ud,288794,9,,,,NA,,Smoothed Land,,UDIPSAMMENTS,,,,,,0,0,0,,0,0
Albany,NY001_UE,Ue,288795,9,,,,NA,,Dredged,,UDIPSAMMENTS,,,,,,0,0,0,,0,0
Albany,NY001_UF,Uf,288796,9,,,,NA,,,,UDIPSAMMENTS-URBAN,,,,,,0,0,0,,0,0
Albany,NY001_UG,Ug,288797,9,,,,NA,,Loamy,,UDORTHENTS,,,,,,0,0,0,,0,0
Albany,NY001_UH,Uh,288798,9,,,,NA,,CLayey,,UDORTHENTS-URBAN,,,,,,0,0,0,,0,0
Albany,NY001_UK,Uk,288799,9,,,,NA,,Loamy,,UDORTHENTS-URBAN,,,,,,0,0,0,,0,0
Albany,NY001_UNA,UnA,288800,1,,,,1,Mesic,,"""00-03""",UNADILLA,Well Drained,,Silty Loam,,Requires lime additions within every rotation,7,18.72,4.02,,3.22,71.01
Albany,NY001_UNB,UnB,288801,2,,,,2E,Mesic,,"""03-08""",UNADILLA,Well Drained,,Silty Loam,,Requires lime additions within every rotation,4,18.48,4.02,,2.68,59.13
Albany,NY001_UNC,UnC,288802,5,,,,3E,Mesic,,"""08-15""",UNADILLA,Well Drained,,Silty Loam,,Requires lime additions within every rotation,1,16.5,3.3,,1.82,39.98
Albany,NY001_UND,UnD,288803,6,,,,4E,Mesic,,"""15-25""",UNADILLA,Well Drained,,Silty Loam,,Requires lime additions within every rotation,0,0,2.925,,1.46,32.21
Albany,NY001_UR,Ur,288804,9,,,,8S,,,,URBAN LAND,,,,,,0,0,0,,0,0
Albany,NY001_US,Us,288805,9,,,,8S,,,,URBAN LAND-UDIPSAMMENT,,,,,,0,0,0,,0,0
Albany,NY001_UT,Ut,288806,9,,,,8S,,,,URBAN LAND-UDORTHENTS,,,,,,0,0,0,,0,0
Albany,NY001_VAB,VaB,288807,2,,,,2E,Mesic,,"""03-08""",VALOIS,Well Drained,Gravelly,,,Requires lime additions within every rotation,6,16.94,3.685,,2.77,61.01
Albany,NY001_VAC,VaC,288808,5,,,,3E,Mesic,,"""08-15""",VALOIS,Well Drained,Gravelly,,,Requires lime additions within every rotation,3,14.25,2.97,,1.89,41.73
Albany,NY001_VAD,VaD,288809,6,,,,4E,Mesic,,"""15-25""",VALOIS,Well Drained,Gravelly,,,Requires lime additions within every rotation,1,11.25,2.6,,1.4,30.73
Albany,NY001_WA,Wa,288811,5,Yes,567,Flooding,2W,Mesic,,"""00-03""",WAKELAND,Somewhat Well-Drained,,Silty Loam,Rarely,Requires lime additions within every rotation,4,13.5,2.64,,1.87,41.23
Albany,NY001_WCA,WcA,288812,3,,,,2S,Mesic,,"""00-03""",WASSAIC,Well Drained to Moderately Well Drained,,Silty Loam,,Requires little lime in the crop rotation,6,15.96,3.015,,2.52,55.47
Albany,NY001_WCB,WcB,288813,3,,,,2E,Mesic,,"""03-08""",WASSAIC,Well Drained to Moderately Well Drained,,Silty Loam,,Requires little lime in the crop rotation,5,15.96,3.015,,2.35,51.76
Albany,NY001_WCC,WcC,288814,5,,,,3E,Mesic,,"""08-15""",WASSAIC,Well Drained to Moderately Well Drained,,Silty Loam,,Requires little lime in the crop rotation,3,13.5,2.64,,1.73,38.19
Albany,NY001_WNC,WnC,288815,8,,,,6S,Mesic,Rolling,"""08-15""",WASSAIC-NELLIS,Well Drained to Moderately Well Drained,Very Rocky,Silty Loam,,Requires little lime in the crop rotation,,0,0,,0,0
Albany,NY001_WO,Wo,288816,8,,,,4W,Mesic,Frequently Flooded,"""00-03""",WAYLAND,Poorly Drained to Very Poorly Drained,,Silty Loam,,Requires lime additions within every rotation,2,9,0.96,,0.48,10.57
Albany,NY001_WRB,WrB,288817,5,,,,2W,Cryic,,"""03-08""",WELLSBORO,Moderately Well-Drained,,Silty Loam,,Requires lime additions within every rotation,5,13.5,2.31,,1.93,42.46
Albany,NY001_WRC,WrC,288818,7,,,,3E,Cryic,,"""08-15""",WELLSBORO,Moderately Well-Drained,,Silty Loam,,Requires lime additions within every rotation,2,12,1.6,,1.12,24.67
Albany,NY001_WRD,WrD,288819,8,,,,4E,Cryic,,"""15-25""",WELLSBORO,Moderately Well-Drained,,Silty Loam,,Requires lime additions within every rotation,1,9.75,0.96,,0.48,10.57
Albany,NY001_WSC,WsC,288820,8,,,,6S,Cryic,,"""03-15""",WELLSBORO,Moderately Well-Drained,Very Stoney,Silty Loam,,Requires lime additions within every rotation,2,12,1.44,,0.72,15.86
Allegany,NY003_1A,1A,1859954,9,,,,NA,,Frequently Flooded,"""00-03""",UDIFLUVENTS-FLUVAQVENT,,,,,,0,0,0,,0,0
Allegany,NY003_3A,3A,1859961,1,Yes,135,"Flooding,Capability Class",1,Mesic,,"""00-03""",TIOGA,Well Drained,,Silty Loam,Rarely,Requires lime additions within every rotation,7,18.72,3.685,,3.17,69.9
Allegany,NY003_5A,5A,1859966,8,,,,3W,Mesic,Frequently Flooded,"""00-03""",WAYLAND SOIL,Poorly Drained to Very Poorly Drained,,Silty Loam,,Requires lime additions within every rotation,2,9,0.96,,0.48,10.57
Allegany,NY003_6A,6A,1859969,7,Yes,778,Flooding,4W,Mesic,,"""00-03""",WYALUSING,Poorly Drained,,Silty Loam,Rarely,Requires lime additions within every rotation,3,10.5,1.6,,1.19,26.21
